,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
SHIB/USDT,SHIB/USDT,1711986399651,2024-04-01T15:46:39.651Z,3.079e-05,2.76116e-05,2.82885e-05,,2.82922e-05,,2.958155897885e-05,3.04292e-05,2.82671e-05,2.82671e-05,,-2.1621e-06,-7.105346180642278,2.934815e-05,47716154000.0,1411518.2237949,"{'ask': '0.0000282922', 'bid': '0.0000282885', 'last': '0.0000282671', 'low': '0.0000276116', 'high': '0.0000307900', 'open': '0.0000304292', 'volume': '47716154000', 'volume_quote': '1411518.2237949000', 'timestamp': '2024-04-01T15:46:39.651Z'}"
SHIB/BTC,SHIB/BTC,1711986399049,2024-04-01T15:46:39.049Z,4.2e-10,4e-10,4.1e-10,,4.2e-10,,4.18854784e-10,4.3e-10,4.1e-10,4.1e-10,,-2e-11,-4.651162790697675,4.2e-10,1314024000.0,0.55038524,"{'ask': '0.00000000042', 'bid': '0.00000000041', 'last': '0.00000000041', 'low': '0.00000000040', 'high': '0.00000000042', 'open': '0.00000000043', 'volume': '1314024000', 'volume_quote': '0.55038524000', 'timestamp': '2024-04-01T15:46:39.049Z'}"
ADA/USDT,ADA/USDT,1711986399651,2024-04-01T15:46:39.651Z,0.6515606,0.6056698,0.6121693,,0.6123001,,0.6339639057859893,0.6463296,0.6123225,0.6123225,,-0.0340071,-5.261572423729317,0.62932605,33990004.0,21548435.6935214,"{'ask': '0.6123001', 'bid': '0.6121693', 'last': '0.6123225', 'low': '0.6056698', 'high': '0.6515606', 'open': '0.6463296', 'volume': '33990004', 'volume_quote': '21548435.6935214', 'timestamp': '2024-04-01T15:46:39.651Z'}"
XEC/USDT,XEC/USDT,1711986399550,2024-04-01T15:46:39.550Z,7.302e-05,6.508e-05,6.618e-05,,6.621e-05,,7.0529138649986e-05,6.544e-05,6.651e-05,6.651e-05,,1.07e-06,1.635085574572127,6.5975e-05,30696000.0,2164.96244,"{'ask': '0.00006621', 'bid': '0.00006618', 'last': '0.00006651', 'low': '0.00006508', 'high': '0.00007302', 'open': '0.00006544', 'volume': '30696000', 'volume_quote': '2164.96244000', 'timestamp': '2024-04-01T15:46:39.550Z'}"
ZIL/USDT,ZIL/USDT,1711986399651,2024-04-01T15:46:39.651Z,0.039098,0.0350136,0.0353264,,0.0353418,,0.037403374735759796,0.0387161,0.0353541,0.0353541,,-0.003362,-8.68372589181245,0.0370351,17279827.0,646323.8446501,"{'ask': '0.0353418', 'bid': '0.0353264', 'last': '0.0353541', 'low': '0.0350136', 'high': '0.0390980', 'open': '0.0387161', 'volume': '17279827', 'volume_quote': '646323.8446501', 'timestamp': '2024-04-01T15:46:39.651Z'}"
GALA/USDT,GALA/USDT,1711986399651,2024-04-01T15:46:39.651Z,0.069728,0.062155,0.062443,,0.062464,,0.06633194641295963,0.067107,0.062458,0.062458,,-0.004649,-6.927742262357131,0.0647825,14379693.2,953833.0387772,"{'ask': '0.062464', 'bid': '0.062443', 'last': '0.062458', 'low': '0.062155', 'high': '0.069728', 'open': '0.067107', 'volume': '14379693.2', 'volume_quote': '953833.0387772', 'timestamp': '2024-04-01T15:46:39.651Z'}"
VET/USDT,VET/USDT,1711986399550,2024-04-01T15:46:39.550Z,0.0474794,0.04332481,0.04372562,,0.04375438,,0.04570409723661816,0.0460324,0.04372365,0.04372365,,-0.00230875,-5.015489090292924,0.044878025,12796820.0,584867.1055995,"{'ask': '0.04375438', 'bid': '0.04372562', 'last': '0.04372365', 'low': '0.04332481', 'high': '0.04747940', 'open': '0.04603240', 'volume': '12796820', 'volume_quote': '584867.10559950', 'timestamp': '2024-04-01T15:46:39.550Z'}"
ONE/USDT,ONE/USDT,1711986399650,2024-04-01T15:46:39.650Z,0.0329667,0.0288133,0.02903854,,0.02906146,,0.031101196440368496,0.03113786,0.02904506,0.02904506,,-0.0020928,-6.721078455616411,0.03009146,9628300.0,299451.6496868,"{'ask': '0.02906146', 'bid': '0.02903854', 'last': '0.02904506', 'low': '0.02881330', 'high': '0.03296670', 'open': '0.03113786', 'volume': '9628300', 'volume_quote': '299451.64968680', 'timestamp': '2024-04-01T15:46:39.650Z'}"
TRX/USDT,TRX/USDT,1711986399550,2024-04-01T15:46:39.550Z,0.1232624,0.1197681,0.1201579,,0.1201661,,0.12197546222168205,0.1231173,0.1201722,0.1201722,,-0.0029451,-2.3921089887448796,0.12164475,9581488.0,1168706.4275715,"{'ask': '0.1201661', 'bid': '0.1201579', 'last': '0.1201722', 'low': '0.1197681', 'high': '0.1232624', 'open': '0.1231173', 'volume': '9581488', 'volume_quote': '1168706.4275715', 'timestamp': '2024-04-01T15:46:39.550Z'}"
USDT/USDC,USDT/USDC,1711986399651,2024-04-01T15:46:39.651Z,1.00140046,0.99990006,0.99989533,,1.00010005,,1.0002044856917358,1.00019092,0.99999451,0.99999451,,-0.00019641,-0.0196372508560665,1.000092715,6032592.0,6033825.57874808,"{'ask': '1.00010005', 'bid': '0.99989533', 'last': '0.99999451', 'low': '0.99990006', 'high': '1.00140046', 'open': '1.00019092', 'volume': '6032592', 'volume_quote': '6033825.57874808', 'timestamp': '2024-04-01T15:46:39.651Z'}"
HBAR/USDT,HBAR/USDT,1711986399651,2024-04-01T15:46:39.651Z,0.117194,0.107511,0.107694,,0.107806,,0.11286198835178092,0.116944,0.107962,0.107962,,-0.008982,-7.680599261184841,0.112453,5479035.0,618374.784349,"{'ask': '0.107806', 'bid': '0.107694', 'last': '0.107962', 'low': '0.107511', 'high': '0.117194', 'open': '0.116944', 'volume': '5479035', 'volume_quote': '618374.784349', 'timestamp': '2024-04-01T15:46:39.651Z'}"
XLM/USDT,XLM/USDT,1711986399550,2024-04-01T15:46:39.550Z,0.142491,0.132207,0.133507,,0.133607,,0.13718349680575995,0.139953,0.133532,0.133532,,-0.006421,-4.58796881810322,0.1367425,4911716.0,673806.3761968,"{'ask': '0.133607', 'bid': '0.133507', 'last': '0.133532', 'low': '0.132207', 'high': '0.142491', 'open': '0.139953', 'volume': '4911716.0', 'volume_quote': '673806.3761968', 'timestamp': '2024-04-01T15:46:39.550Z'}"
CHZ/USDT,CHZ/USDT,1711986399650,2024-04-01T15:46:39.650Z,0.1507179,0.1365963,0.1375062,,0.1375357,,0.14509573219730246,0.1486688,0.1373697,0.1373697,,-0.0112991,-7.600182418906993,0.14301925,4170632.0,605140.9037655,"{'ask': '0.1375357', 'bid': '0.1375062', 'last': '0.1373697', 'low': '0.1365963', 'high': '0.1507179', 'open': '0.1486688', 'volume': '4170632', 'volume_quote': '605140.9037655', 'timestamp': '2024-04-01T15:46:39.650Z'}"
XRP/USDT,XRP/USDT,1711986399350,2024-04-01T15:46:39.350Z,0.633335,0.595,0.602439,,0.602531,,0.6167422147439819,0.626645,0.602634,0.602634,,-0.024011,-3.8316750313175723,0.6146395,3298758.8,2034483.8082182,"{'ask': '0.602531', 'bid': '0.602439', 'last': '0.602634', 'low': '0.595000', 'high': '0.633335', 'open': '0.626645', 'volume': '3298758.8', 'volume_quote': '2034483.8082182', 'timestamp': '2024-04-01T15:46:39.350Z'}"
ADA/USDT:USDT,ADA/USDT:USDT,1711986399681,2024-04-01T15:46:39.681Z,0.65205,0.61135,0.6125,,0.6126,,0.6349400072662359,0.64713,0.6134,0.6134,,-0.03373,-5.212244834886344,0.630265,2609329.0,1656767.37422,"{'ask': '0.61260', 'bid': '0.61250', 'last': '0.61340', 'low': '0.61135', 'high': '0.65205', 'open': '0.64713', 'volume': '2609329', 'volume_quote': '1656767.37422', 'timestamp': '2024-04-01T15:46:39.681Z'}"
EOS/USDT:USDT,EOS/USDT:USDT,1711986399581,2024-04-01T15:46:39.581Z,1.116,1.02345,1.028,,1.029,,1.0742217230250215,1.09229,1.02744,1.02744,,-0.06485,-5.937067994763296,1.059865,1791855.0,1924849.565511,"{'ask': '1.02900', 'bid': '1.02800', 'last': '1.02744', 'low': '1.02345', 'high': '1.11600', 'open': '1.09229', 'volume': '1791855.0', 'volume_quote': '1924849.565511', 'timestamp': '2024-04-01T15:46:39.581Z'}"
VET/BTC,VET/BTC,1711986397348,2024-04-01T15:46:37.348Z,6.734e-07,6.347e-07,6.36e-07,,6.396e-07,,6.5647230664e-07,6.538e-07,6.378e-07,6.378e-07,,-1.6e-08,-2.447231569287244,6.458e-07,1681450.0,1.10382536,"{'ask': '0.0000006396', 'bid': '0.0000006360', 'last': '0.0000006378', 'low': '0.0000006347', 'high': '0.0000006734', 'open': '0.0000006538', 'volume': '1681450', 'volume_quote': '1.1038253600', 'timestamp': '2024-04-01T15:46:37.348Z'}"
SAND/USDT,SAND/USDT,1711986399650,2024-04-01T15:46:39.650Z,0.706969,0.643065,0.649367,,0.649433,,0.6813991918325355,0.699347,0.650067,0.650067,,-0.04928,-7.046573446372116,0.674707,1331544.2,907313.1417693,"{'ask': '0.649433', 'bid': '0.649367', 'last': '0.650067', 'low': '0.643065', 'high': '0.706969', 'open': '0.699347', 'volume': '1331544.2', 'volume_quote': '907313.1417693', 'timestamp': '2024-04-01T15:46:39.650Z'}"
MATIC/USDT,MATIC/USDT,1711986399651,2024-04-01T15:46:39.651Z,1.0064372,0.9322933,0.9400529,,0.9402471,,0.9810441229931058,0.9997584,0.9413502,0.9413502,,-0.0584082,-5.842231483126323,0.9705543,1286316.0,1261932.752112,"{'ask': '0.9402471', 'bid': '0.9400529', 'last': '0.9413502', 'low': '0.9322933', 'high': '1.0064372', 'open': '0.9997584', 'volume': '1286316', 'volume_quote': '1261932.7521120', 'timestamp': '2024-04-01T15:46:39.651Z'}"
