,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
SHIB/USDT,SHIB/USDT,1711986402054,2024-04-01T15:46:42.054Z,3.079e-05,2.76116e-05,2.82915e-05,,2.82922e-05,,2.958155897885e-05,3.04292e-05,2.82671e-05,2.82671e-05,,-2.1621e-06,-7.105346180642278,2.934815e-05,47716154000.0,1411518.2237949,"{'ask': '0.0000282922', 'bid': '0.0000282915', 'last': '0.0000282671', 'low': '0.0000276116', 'high': '0.0000307900', 'open': '0.0000304292', 'volume': '47716154000', 'volume_quote': '1411518.2237949000', 'timestamp': '2024-04-01T15:46:42.054Z'}"
SHIB/USDT:USDT,SHIB/USDT:USDT,1711986402082,2024-04-01T15:46:42.082Z,3.0744e-05,2.7465e-05,2.825e-05,,2.8276e-05,,2.9236648631029e-05,3.0394e-05,2.8269e-05,2.8269e-05,,-2.125e-06,-6.991511482529447,2.93315e-05,38235596000.0,1117880.68545,"{'ask': '0.000028276', 'bid': '0.000028250', 'last': '0.000028269', 'low': '0.000027465', 'high': '0.000030744', 'open': '0.000030394', 'volume': '38235596000', 'volume_quote': '1117880.685450000', 'timestamp': '2024-04-01T15:46:42.082Z'}"
SHIB/BTC,SHIB/BTC,1711986402053,2024-04-01T15:46:42.053Z,4.2e-10,4e-10,4.1e-10,,4.2e-10,,4.18854784e-10,4.3e-10,4.1e-10,4.1e-10,,-2e-11,-4.651162790697675,4.2e-10,1314024000.0,0.55038524,"{'ask': '0.00000000042', 'bid': '0.00000000041', 'last': '0.00000000041', 'low': '0.00000000040', 'high': '0.00000000042', 'open': '0.00000000043', 'volume': '1314024000', 'volume_quote': '0.55038524000', 'timestamp': '2024-04-01T15:46:42.053Z'}"
WIN/USDT,WIN/USDT,1711986401453,2024-04-01T15:46:41.453Z,0.000169278,0.000158539,0.000158284,,0.000158416,,0.000164666036972059,0.00016803,0.000158545,0.000158545,,-9.485e-06,-5.644825328810332,0.0001632875,1269669600.0,209071.4612959,"{'ask': '0.000158416', 'bid': '0.000158284', 'last': '0.000158545', 'low': '0.000158539', 'high': '0.000169278', 'open': '0.000168030', 'volume': '1269669600', 'volume_quote': '209071.461295900', 'timestamp': '2024-04-01T15:46:41.453Z'}"
BTT/USDT,BTT/USDT,1711986401452,2024-04-01T15:46:41.452Z,1.641e-06,1.491e-06,1.49e-06,,1.501e-06,,1.60591929338e-06,1.601e-06,1.491e-06,1.491e-06,,-1.1e-07,-6.870705808869457,1.546e-06,409669000.0,657.895351,"{'ask': '0.000001501', 'bid': '0.000001490', 'last': '0.000001491', 'low': '0.000001491', 'high': '0.000001641', 'open': '0.000001601', 'volume': '409669000', 'volume_quote': '657.895351000', 'timestamp': '2024-04-01T15:46:41.452Z'}"
HOT/USDT,HOT/USDT,1711986401553,2024-04-01T15:46:41.553Z,0.003494111,0.003151002,0.003169682,,0.003171318,,0.003327988605006261,0.003385382,0.003178415,0.003178415,,-0.000206967,-6.1135493719763385,0.0032818985,169052300.0,562604.1280501,"{'ask': '0.003171318', 'bid': '0.003169682', 'last': '0.003178415', 'low': '0.003151002', 'high': '0.003494111', 'open': '0.003385382', 'volume': '169052300', 'volume_quote': '562604.128050100', 'timestamp': '2024-04-01T15:46:41.553Z'}"
ADA/USDT,ADA/USDT,1711986401453,2024-04-01T15:46:41.453Z,0.6515606,0.6056698,0.6121693,,0.612294,,0.6339639057859893,0.6463296,0.6123225,0.6123225,,-0.0340071,-5.261572423729317,0.62932605,33990004.0,21548435.6935214,"{'ask': '0.6122940', 'bid': '0.6121693', 'last': '0.6123225', 'low': '0.6056698', 'high': '0.6515606', 'open': '0.6463296', 'volume': '33990004', 'volume_quote': '21548435.6935214', 'timestamp': '2024-04-01T15:46:41.453Z'}"
XEC/USDT,XEC/USDT,1711986402053,2024-04-01T15:46:42.053Z,7.302e-05,6.508e-05,6.619e-05,,6.622e-05,,7.0529138649986e-05,6.544e-05,6.651e-05,6.651e-05,,1.07e-06,1.635085574572127,6.5975e-05,30696000.0,2164.96244,"{'ask': '0.00006622', 'bid': '0.00006619', 'last': '0.00006651', 'low': '0.00006508', 'high': '0.00007302', 'open': '0.00006544', 'volume': '30696000', 'volume_quote': '2164.96244000', 'timestamp': '2024-04-01T15:46:42.053Z'}"
ANKR/USDT,ANKR/USDT,1711986402054,2024-04-01T15:46:42.054Z,0.068788,0.0590802,0.0634536,,0.0635064,,0.06328704738284063,0.0597161,0.063525,0.063525,,0.0038089,6.378346877977631,0.06162055,24795242.0,1569217.655323,"{'ask': '0.0635064', 'bid': '0.0634536', 'last': '0.0635250', 'low': '0.0590802', 'high': '0.0687880', 'open': '0.0597161', 'volume': '24795242', 'volume_quote': '1569217.6553230', 'timestamp': '2024-04-01T15:46:42.054Z'}"
IOST/USDT,IOST/USDT,1711986401553,2024-04-01T15:46:41.553Z,0.01305694,0.01150594,0.01152512,,0.01159169,,0.012294348636404929,0.01265257,0.01158354,0.01158354,,-0.00106903,-8.449113500261213,0.012118055,24107890.0,296390.8045481,"{'ask': '0.01159169', 'bid': '0.01152512', 'last': '0.01158354', 'low': '0.01150594', 'high': '0.01305694', 'open': '0.01265257', 'volume': '24107890', 'volume_quote': '296390.80454810', 'timestamp': '2024-04-01T15:46:41.553Z'}"
