,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
BTC/USD,BTC/USD,1709579695668,2024-03-04T19:14:55.668Z,67500.0,62216.0,66460.0,,66467.0,,,,66460.0,66460.0,,,,66463.5,4286.86361928,,"{'mid': '66463.5', 'bid': '66460.0', 'ask': '66467.0', 'last_price': '66460.0', 'low': '62216.0', 'high': '67500.0', 'volume': '4286.86361928', 'timestamp': '1709579695.66871689', 'pair': 'BTCUSD'}"
LTC/USD,LTC/USD,1709579695669,2024-03-04T19:14:55.669Z,92.7,87.616,88.721,,88.775,,,,88.838,88.838,,,,88.748,26773.2661215,,"{'mid': '88.748', 'bid': '88.721', 'ask': '88.775', 'last_price': '88.838', 'low': '87.616', 'high': '92.7', 'volume': '26773.2661215', 'timestamp': '1709579695.669055262', 'pair': 'LTCUSD'}"
LTC/BTC,LTC/BTC,1709579695669,2024-03-04T19:14:55.669Z,0.0014493,0.001324,0.0013344,,0.0013356,,,,0.0013333,0.0013333,,,,0.001335,2038.33802437,,"{'mid': '0.001335', 'bid': '0.0013344', 'ask': '0.0013356', 'last_price': '0.0013333', 'low': '0.001324', 'high': '0.0014493', 'volume': '2038.33802437', 'timestamp': '1709579695.669434657', 'pair': 'LTCBTC'}"
ETH/USD,ETH/USD,1709579695669,2024-03-04T19:14:55.669Z,3599.3,3429.6,3591.4,,3591.9,,,,3591.3,3591.3,,,,3591.65,27436.07316467,,"{'mid': '3591.65', 'bid': '3591.4', 'ask': '3591.9', 'last_price': '3591.3', 'low': '3429.6', 'high': '3599.3', 'volume': '27436.07316467', 'timestamp': '1709579695.669868955', 'pair': 'ETHUSD'}"
ETH/BTC,ETH/BTC,1709579695670,2024-03-04T19:14:55.670Z,0.055406,0.05293,0.05405,,0.054053,,,,0.054067,0.054067,,,,0.0540515,6077.07537983,,"{'mid': '0.0540515', 'bid': '0.05405', 'ask': '0.054053', 'last_price': '0.054067', 'low': '0.05293', 'high': '0.055406', 'volume': '6077.07537983', 'timestamp': '1709579695.670249267', 'pair': 'ETHBTC'}"
ETC/BTC,ETC/BTC,1709579695670,2024-03-04T19:14:55.670Z,0.00054024,0.00051003,0.00053266,,0.00053681,,,,0.00053431,0.00053431,,,,0.000534735,822.6195543,,"{'mid': '0.000534735', 'bid': '0.00053266', 'ask': '0.00053681', 'last_price': '0.00053431', 'low': '0.00051003', 'high': '0.00054024', 'volume': '822.6195543', 'timestamp': '1709579695.670735566', 'pair': 'ETCBTC'}"
ETC/USD,ETC/USD,1709579695671,2024-03-04T19:14:55.671Z,35.659,33.091,35.417,,35.538,,,,35.655,35.655,,,,35.4775,16088.10186212,,"{'mid': '35.4775', 'bid': '35.417', 'ask': '35.538', 'last_price': '35.655', 'low': '33.091', 'high': '35.659', 'volume': '16088.10186212', 'timestamp': '1709579695.67139749', 'pair': 'ETCUSD'}"
RRT/USD,RRT/USD,1709579695671,2024-03-04T19:14:55.671Z,0.90001,0.90001,0.90001,,0.95309,,,,0.90001,0.90001,,,,0.92655,145.24402142,,"{'mid': '0.92655', 'bid': '0.90001', 'ask': '0.95309', 'last_price': '0.90001', 'low': '0.90001', 'high': '0.90001', 'volume': '145.24402142', 'timestamp': '1709579695.671862964', 'pair': 'RRTUSD'}"
ZEC/USD,ZEC/USD,1709579695672,2024-03-04T19:14:55.672Z,33.1,30.848,31.924,,31.998,,,,31.924,31.924,,,,31.961,2957.47561134,,"{'mid': '31.961', 'bid': '31.924', 'ask': '31.998', 'last_price': '31.924', 'low': '30.848', 'high': '33.1', 'volume': '2957.47561134', 'timestamp': '1709579695.672118737', 'pair': 'ZECUSD'}"
ZEC/BTC,ZEC/BTC,1709579695672,2024-03-04T19:14:55.672Z,0.00050746,0.00046642,0.00048061,,0.0004817,,,,0.00048073,0.00048073,,,,0.000481155,890.48702526,,"{'mid': '0.000481155', 'bid': '0.00048061', 'ask': '0.0004817', 'last_price': '0.00048073', 'low': '0.00046642', 'high': '0.00050746', 'volume': '890.48702526', 'timestamp': '1709579695.672388381', 'pair': 'ZECBTC'}"
XMR/USD,XMR/USD,1709579695672,2024-03-04T19:14:55.672Z,151.89,143.12,150.31,,150.6,,,,150.46,150.46,,,,150.455,2799.62679885,,"{'mid': '150.455', 'bid': '150.31', 'ask': '150.6', 'last_price': '150.46', 'low': '143.12', 'high': '151.89', 'volume': '2799.62679885', 'timestamp': '1709579695.672647417', 'pair': 'XMRUSD'}"
XMR/BTC,XMR/BTC,1709579695672,2024-03-04T19:14:55.672Z,0.0024191,0.00204,0.0022629,,0.0022669,,,,0.0022673,0.0022673,,,,0.0022649,8428.8215693,,"{'mid': '0.0022649', 'bid': '0.0022629', 'ask': '0.0022669', 'last_price': '0.0022673', 'low': '0.00204', 'high': '0.0024191', 'volume': '8428.8215693', 'timestamp': '1709579695.672862626', 'pair': 'XMRBTC'}"
DASH/USD,DASH/USD,1709579695673,2024-03-04T19:14:55.673Z,40.14,36.901,38.746,,38.816,,,,38.651,38.651,,,,38.781,7197.32413406,,"{'mid': '38.781', 'bid': '38.746', 'ask': '38.816', 'last_price': '38.651', 'low': '36.901', 'high': '40.14', 'volume': '7197.32413406', 'timestamp': '1709579695.673121727', 'pair': 'DSHUSD'}"
DASH/BTC,DASH/BTC,1709579695673,2024-03-04T19:14:55.673Z,0.00061802,0.000572,0.00058307,,0.00058417,,,,0.0005836,0.0005836,,,,0.00058362,1616.39632578,,"{'mid': '0.00058362', 'bid': '0.00058307', 'ask': '0.00058417', 'last_price': '0.0005836', 'low': '0.000572', 'high': '0.00061802', 'volume': '1616.39632578', 'timestamp': '1709579695.673340439', 'pair': 'DSHBTC'}"
BTC/EUR,BTC/EUR,1709579695673,2024-03-04T19:14:55.673Z,62231.0,57615.0,61282.0,,61332.0,,,,61314.0,61314.0,,,,61307.0,95.4284026,,"{'mid': '61307.0', 'bid': '61282.0', 'ask': '61332.0', 'last_price': '61314.0', 'low': '57615.0', 'high': '62231.0', 'volume': '95.4284026', 'timestamp': '1709579695.67355836', 'pair': 'BTCEUR'}"
