,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
SOLAR/USDT,SOLAR/USDT,1709570455097,2024-03-04T16:40:55.097Z,0.017101,0.017077,0.017077,68.0,0.0171,406.0,0.017099950527036153,0.017101,0.017077,0.017077,,-2.4e-05,-0.14,0.017089,900128.0,15392.144268,"{'symbol': 'SOLAR_USDT', 'last_price': '0.017077', 'quote_volume_24h': '15392.144268', 'base_volume_24h': '900128', 'high_24h': '0.017101', 'low_24h': '0.017077', 'open_24h': '0.017101', 'close_24h': '0.017077', 'best_ask': '0.017100', 'best_ask_size': '406', 'best_bid': '0.017077', 'best_bid_size': '68', 'fluctuation': '-0.0014', 'url': 'https://www.bitmart.com/trade?symbol=SOLAR_USDT', 'timestamp': '1709570455097'}"
ORNJ/USDT,ORNJ/USDT,1709579700019,2024-03-04T19:15:00.019Z,0.38724,0.32504,0.33065,394.46,0.33902,67.47,0.35398836112758597,0.35499,0.33064,0.33064,,-0.02435,-6.86,0.342815,1401867.76,496244.87088,"{'symbol': 'ORNJ_USDT', 'last_price': '0.33064', 'quote_volume_24h': '496244.87088', 'base_volume_24h': '1401867.76', 'high_24h': '0.38724', 'low_24h': '0.32504', 'open_24h': '0.35499', 'close_24h': '0.33064', 'best_ask': '0.33902', 'best_ask_size': '67.47', 'best_bid': '0.33065', 'best_bid_size': '394.46', 'fluctuation': '-0.0686', 'url': 'https://www.bitmart.com/trade?symbol=ORNJ_USDT', 'timestamp': '1709579700019'}"
SHIBWIF/USDT,SHIBWIF/USDT,1709579700852,2024-03-04T19:15:00.852Z,0.018685,0.005513,0.01485,757.0,0.017476,930.0,0.009775298969058776,0.005775,0.014912,0.014912,,0.009137,158.22,0.0103435,36960594.0,361300.856424,"{'symbol': 'SHIBWIF_USDT', 'last_price': '0.014912', 'quote_volume_24h': '361300.856424', 'base_volume_24h': '36960594', 'high_24h': '0.018685', 'low_24h': '0.005513', 'open_24h': '0.005775', 'close_24h': '0.014912', 'best_ask': '0.017476', 'best_ask_size': '930', 'best_bid': '0.014850', 'best_bid_size': '757', 'fluctuation': '+1.5822', 'url': 'https://www.bitmart.com/trade?symbol=SHIBWIF_USDT', 'timestamp': '1709579700852'}"
OGN/USDT,OGN/USDT,1709579581033,2024-03-04T19:13:01.033Z,0.2299,0.2088,0.2113,158.1,0.212,100.0,0.22166756063371154,0.2201,0.2113,0.2113,,-0.0088,-4.0,0.2157,37809.0,8381.0288,"{'symbol': 'OGN_USDT', 'last_price': '0.2113', 'quote_volume_24h': '8381.0288', 'base_volume_24h': '37809.0', 'high_24h': '0.2299', 'low_24h': '0.2088', 'open_24h': '0.2201', 'close_24h': '0.2113', 'best_ask': '0.2120', 'best_ask_size': '100.0', 'best_bid': '0.2113', 'best_bid_size': '158.1', 'fluctuation': '-0.0400', 'url': 'https://www.bitmart.com/trade?symbol=OGN_USDT', 'timestamp': '1709579581033'}"
QNT/USDT,QNT/USDT,1709579638293,2024-03-04T19:13:58.293Z,134.79,120.79,130.22,0.182,130.7,0.375,124.2557738765666,125.15,130.66,130.66,,5.51,4.4,127.905,1005.044,124882.52,"{'symbol': 'QNT_USDT', 'last_price': '130.66', 'quote_volume_24h': '124882.52', 'base_volume_24h': '1005.044', 'high_24h': '134.79', 'low_24h': '120.79', 'open_24h': '125.15', 'close_24h': '130.66', 'best_ask': '130.70', 'best_ask_size': '0.375', 'best_bid': '130.22', 'best_bid_size': '0.182', 'fluctuation': '+0.0440', 'url': 'https://www.bitmart.com/trade?symbol=QNT_USDT', 'timestamp': '1709579638293'}"
KOM/USDT,KOM/USDT,1709579690369,2024-03-04T19:14:50.369Z,0.00248731,0.002367,0.00242515,4536.0,0.00243,31532.0,0.002424995419917413,0.00239236,0.00243001,0.00243001,,3.765e-05,1.57,0.002411185,39580902.0,95983.5060662,"{'symbol': 'KOM_USDT', 'last_price': '0.00243001', 'quote_volume_24h': '95983.50606620', 'base_volume_24h': '39580902', 'high_24h': '0.00248731', 'low_24h': '0.00236700', 'open_24h': '0.00239236', 'close_24h': '0.00243001', 'best_ask': '0.00243000', 'best_ask_size': '31532', 'best_bid': '0.00242515', 'best_bid_size': '4536', 'fluctuation': '+0.0157', 'url': 'https://www.bitmart.com/trade?symbol=KOM_USDT', 'timestamp': '1709579690369'}"
HAM/USDT,HAM/USDT,1709579520275,2024-03-04T19:12:00.275Z,3.075e-09,2.031e-09,2.914e-09,1568690712.0,2.957e-09,14325146796.0,2.656529896e-09,2.263e-09,2.928e-09,2.928e-09,,6.65e-10,29.39,2.5955e-09,61783980316026.0,164130.99081602567,"{'symbol': 'HAM_USDT', 'last_price': '0.000000002928', 'quote_volume_24h': '164130.990816025678', 'base_volume_24h': '61783980316026', 'high_24h': '0.000000003075', 'low_24h': '0.000000002031', 'open_24h': '0.000000002263', 'close_24h': '0.000000002928', 'best_ask': '0.000000002957', 'best_ask_size': '14325146796', 'best_bid': '0.000000002914', 'best_bid_size': '1568690712', 'fluctuation': '+0.2939', 'url': 'https://www.bitmart.com/trade?symbol=HAM_USDT', 'timestamp': '1709579520275'}"
WAGMIGAMES/USDT,WAGMIGAMES/USDT,1709579685380,2024-03-04T19:14:45.380Z,3.043e-05,2.781e-05,2.915e-05,2673356.0,2.945e-05,1089282.0,2.9386579033714e-05,2.936e-05,2.933e-05,2.933e-05,,-3e-08,-0.1,2.9345e-05,28226492536.0,829480.05375372,"{'symbol': 'WAGMIGAMES_USDT', 'last_price': '0.00002933', 'quote_volume_24h': '829480.05375372', 'base_volume_24h': '28226492536', 'high_24h': '0.00003043', 'low_24h': '0.00002781', 'open_24h': '0.00002936', 'close_24h': '0.00002933', 'best_ask': '0.00002945', 'best_ask_size': '1089282', 'best_bid': '0.00002915', 'best_bid_size': '2673356', 'fluctuation': '-0.0010', 'url': 'https://www.bitmart.com/trade?symbol=WAGMIGAMES_USDT', 'timestamp': '1709579685380'}"
GAMI/USDT,GAMI/USDT,1709578176243,2024-03-04T18:49:36.243Z,0.002665,0.002404,0.002403,2287.0,0.003081,16357.0,0.002404,0.002665,0.002404,0.002404,,-0.000261,-9.79,0.0025345,20604.0,49.532016,"{'symbol': 'GAMI_USDT', 'last_price': '0.002404', 'quote_volume_24h': '49.532016', 'base_volume_24h': '20604', 'high_24h': '0.002665', 'low_24h': '0.002404', 'open_24h': '0.002665', 'close_24h': '0.002404', 'best_ask': '0.003081', 'best_ask_size': '16357', 'best_bid': '0.002403', 'best_bid_size': '2287', 'fluctuation': '-0.0979', 'url': 'https://www.bitmart.com/trade?symbol=GAMI_USDT', 'timestamp': '1709578176243'}"
$BEAI/USDT,$BEAI/USDT,1709579700658,2024-03-04T19:15:00.658Z,0.33499,0.30504,0.305,56.2,0.308,55.65,0.3204476089033414,0.33115,0.30559,0.30559,,-0.02556,-7.72,0.31837,215706.88,69122.75392,"{'symbol': '$BEAI_USDT', 'last_price': '0.30559', 'quote_volume_24h': '69122.75392', 'base_volume_24h': '215706.88', 'high_24h': '0.33499', 'low_24h': '0.30504', 'open_24h': '0.33115', 'close_24h': '0.30559', 'best_ask': '0.30800', 'best_ask_size': '55.65', 'best_bid': '0.30500', 'best_bid_size': '56.20', 'fluctuation': '-0.0772', 'url': 'https://www.bitmart.com/trade?symbol=$BEAI_USDT', 'timestamp': '1709579700658'}"
