,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
1INCH/EUR,1INCH/EUR,1709579785902,2024-03-04T19:16:25.902Z,0.56149,0.52026,0.5347,561.46232128,0.53575,90.09853,0.539016649734613,0.52622,0.5333,0.5333,,0.00708,1.3454448709665159,0.52976,424482.81885718,228803.30689030178,"{'market': '1INCH-EUR', 'startTimestamp': '1709493385902', 'timestamp': '1709579785902', 'open': '0.52622', 'openTimestamp': '1709498700057', 'high': '0.56149', 'low': '0.52026', 'last': '0.5333', 'closeTimestamp': '1709579683178', 'bid': '0.5347', 'bidSize': '561.46232128', 'ask': '0.53575', 'askSize': '90.09853', 'volume': '424482.81885718', 'volumeQuote': '228803.3068903017709'}"
AAVE/EUR,AAVE/EUR,1709579785967,2024-03-04T19:16:25.967Z,106.66,101.68,104.5,5.513,104.64,3.08288685,104.17319040941096,103.31,104.65,104.65,,1.34,1.2970670796631496,103.98,6077.14911238,633076.0116303446,"{'market': 'AAVE-EUR', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': '103.31', 'openTimestamp': '1709498717837', 'high': '106.66', 'low': '101.68', 'last': '104.65', 'closeTimestamp': '1709579746859', 'bid': '104.5', 'bidSize': '5.513', 'ask': '104.64', 'askSize': '3.08288685', 'volume': '6077.14911238', 'volumeQuote': '633076.0116303446'}"
ACE/EUR,ACE/EUR,1709579787539,2024-03-04T19:16:27.539Z,,,,,,,,,,,,,,,,,"{'market': 'ACE-EUR', 'timestamp': '1709579787539', 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'open': None, 'high': None, 'low': None, 'close': None, 'volume': None, 'volumeQuote': None}"
ACH/EUR,ACH/EUR,1709579785967,2024-03-04T19:16:25.967Z,0.028661,0.025723,0.026718,37357.14409761,0.026811,40649.08370587,0.02731187437368258,0.026453,0.02675,0.02675,,0.000297,1.1227460023437794,0.0266015,10844975.24254531,296196.6014100953,"{'market': 'ACH-EUR', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': '0.026453', 'openTimestamp': '1709498845922', 'high': '0.028661', 'low': '0.025723', 'last': '0.02675', 'closeTimestamp': '1709579754290', 'bid': '0.026718', 'bidSize': '37357.14409761', 'ask': '0.026811', 'askSize': '40649.08370587', 'volume': '10844975.24254531', 'volumeQuote': '296196.60141009529115'}"
ADA/BTC,ADA/BTC,1709579786295,2024-03-04T19:16:26.295Z,,,,,,,,,,,,,,,,,"{'market': 'ADA-BTC', 'startTimestamp': '1709493386295', 'timestamp': '1709579786295', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
ADA/EUR,ADA/EUR,1709579785670,2024-03-04T19:16:25.670Z,0.73609,0.66224,0.7099,5631.482821,0.71063,648.122406,0.7142384319451804,0.66224,0.7093,0.7093,,0.04706,7.1061850688572115,0.68577,33365515.304547,23830933.33216257,"{'market': 'ADA-EUR', 'startTimestamp': '1709493385670', 'timestamp': '1709579785670', 'open': '0.66224', 'openTimestamp': '1709498701605', 'high': '0.73609', 'low': '0.66224', 'last': '0.7093', 'closeTimestamp': '1709579767603', 'bid': '0.7099', 'bidSize': '5631.482821', 'ask': '0.71063', 'askSize': '648.122406', 'volume': '33365515.304547', 'volumeQuote': '23830933.33216257011'}"
ADX/EUR,ADX/EUR,1709579785967,2024-03-04T19:16:25.967Z,0.22599,0.21618,0.22129,6482.0,0.22225,124.56,0.22121823774796812,0.21618,0.22211,0.22211,,0.00593,2.7430844666481633,0.219145,220471.95327013,48772.416975270535,"{'market': 'ADX-EUR', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': '0.21618', 'openTimestamp': '1709498821876', 'high': '0.22599', 'low': '0.21618', 'last': '0.22211', 'closeTimestamp': '1709579581819', 'bid': '0.22129', 'bidSize': '6482', 'ask': '0.22225', 'askSize': '124.56', 'volume': '220471.95327013', 'volumeQuote': '48772.4169752705361'}"
AE/BTC,AE/BTC,1709579785967,2024-03-04T19:16:25.967Z,,,,,,,,,,,,,,,,,"{'market': 'AE-BTC', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
AE/EUR,AE/EUR,1709579785902,2024-03-04T19:16:25.902Z,,,,,,,,,,,,,,,,,"{'market': 'AE-EUR', 'startTimestamp': '1709493385902', 'timestamp': '1709579785902', 'open': None, 'openTimestamp': None, 'high': None, 'low': None, 'last': None, 'closeTimestamp': None, 'bid': None, 'bidSize': None, 'ask': None, 'askSize': None, 'volume': None, 'volumeQuote': None}"
AGIX/EUR,AGIX/EUR,1709579785967,2024-03-04T19:16:25.967Z,0.90298,0.78245,0.8361,1378.0,0.83801,823.6,0.8447129877825462,0.851,0.83902,0.83902,,-0.01198,-1.4077555816686251,0.84501,7066039.23164288,5968775.111149744,"{'market': 'AGIX-EUR', 'startTimestamp': '1709493385967', 'timestamp': '1709579785967', 'open': '0.851', 'openTimestamp': '1709498820724', 'high': '0.90298', 'low': '0.78245', 'last': '0.83902', 'closeTimestamp': '1709579760118', 'bid': '0.8361', 'bidSize': '1378', 'ask': '0.83801', 'askSize': '823.6', 'volume': '7066039.23164288', 'volumeQuote': '5968775.1111497444803'}"
