,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
DFT/USDT,DFT/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.035418,0.030842,0.035263,,0.035298,,0.033347070411028475,,0.035263,0.035263,,,13.37,,79293327.07,2644200.160928,"{'date': 1709579778, 'vol': '79293327.07', 'change': '13.37', 'base_vol': '2644200.160928', 'sell': '0.035298', 'last': '0.035263', 'symbol': 'dft_usdt', 'low': '0.030842', 'buy': '0.035263', 'high': '0.035418'}"
DOGE/USDT,DOGE/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.18533,0.14453,0.17316,,0.1732,,0.16345314988526324,,0.17299,0.17299,,,17.21,,1278708763.93,209008975.25025,"{'date': 1709579778, 'vol': '1278708763.93', 'change': '17.21', 'base_vol': '209008975.25025', 'sell': '0.1732', 'last': '0.17299', 'symbol': 'doge_usdt', 'low': '0.14453', 'buy': '0.17316', 'high': '0.18533'}"
BTC/USDT,BTC/USDT,1709579778000,2024-03-04T19:16:18.000Z,67499.99,62358.01,66404.0,,66404.46,,65029.141091460166,,66408.1,66408.1,,,5.76,,20127.8311453,1308895571.4128,"{'date': 1709579778, 'vol': '20127.8311453', 'change': '5.76', 'base_vol': '1308895571.4128', 'sell': '66404.46', 'last': '66408.1', 'symbol': 'btc_usdt', 'low': '62358.01', 'buy': '66404', 'high': '67499.99'}"
ETH/USDT,ETH/USDT,1709579778000,2024-03-04T19:16:18.000Z,3599.27,3451.54,3587.09,,3587.21,,3517.222156119289,,3586.52,3586.52,,,3.28,,165005.7563,580361901.94558,"{'date': 1709579778, 'vol': '165005.7563', 'change': '3.28', 'base_vol': '580361901.94558', 'sell': '3587.21', 'last': '3586.52', 'symbol': 'eth_usdt', 'low': '3451.54', 'buy': '3587.09', 'high': '3599.27'}"
XRP/USDT,XRP/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.66461,0.61689,0.64941,,0.64946,,0.6433124283463877,,0.64931,0.64931,,,3.4,,41627350.0,26779391.614125,"{'date': 1709579778, 'vol': '41627350', 'change': '3.4', 'base_vol': '26779391.614125', 'sell': '0.64946', 'last': '0.64931', 'symbol': 'xrp_usdt', 'low': '0.61689', 'buy': '0.64941', 'high': '0.66461'}"
LTC/USDT,LTC/USDT,1709579778000,2024-03-04T19:16:18.000Z,92.65,87.54,88.85,,88.87,,90.24883723248861,,88.82,88.82,,,-2.25,,245092.701,22119331.27942,"{'date': 1709579778, 'vol': '245092.701', 'change': '-2.25', 'base_vol': '22119331.27942', 'sell': '88.87', 'last': '88.82', 'symbol': 'ltc_usdt', 'low': '87.54', 'buy': '88.85', 'high': '92.65'}"
DOT/USDT,DOT/USDT,1709579778000,2024-03-04T19:16:18.000Z,10.3065,9.5727,9.8623,,9.8625,,9.905098828497904,,9.8615,9.8615,,,2.57,,3747791.84,37122248.563838,"{'date': 1709579778, 'vol': '3747791.84', 'change': '2.57', 'base_vol': '37122248.563838', 'sell': '9.8625', 'last': '9.8615', 'symbol': 'dot_usdt', 'low': '9.5727', 'buy': '9.8623', 'high': '10.3065'}"
ADA/USDT,ADA/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.79831,0.72349,0.77061,,0.77069,,0.7684010885686618,,0.77071,0.77071,,,5.81,,51937011.4,39908456.096763,"{'date': 1709579778, 'vol': '51937011.4', 'change': '5.81', 'base_vol': '39908456.096763', 'sell': '0.77069', 'last': '0.77071', 'symbol': 'ada_usdt', 'low': '0.72349', 'buy': '0.77061', 'high': '0.79831'}"
EOS/USDT,EOS/USDT,1709579778000,2024-03-04T19:16:18.000Z,1.148,1.0518,1.1034,,1.1035,,1.103715531588688,,1.1035,1.1035,,,2.47,,8253704.6,9109741.960165,"{'date': 1709579778, 'vol': '8253704.6', 'change': '2.47', 'base_vol': '9109741.960165', 'sell': '1.1035', 'last': '1.1035', 'symbol': 'eos_usdt', 'low': '1.0518', 'buy': '1.1034', 'high': '1.148'}"
AVAX3L_USDT,AVAX3L_USDT,1709579778000,2024-03-04T19:16:18.000Z,0.1058401438,0.0876860351,0.0941298134,,0.0943200959,,0.09757931698316888,,0.0943200959,0.0943200959,,,-2.93,,1393318.3,135959.04805415,"{'date': 1709579778, 'vol': '1393318.3', 'change': '-2.93', 'base_vol': '135959.04805415', 'sell': '0.0943200959', 'last': '0.0943200959', 'symbol': 'avax3l_usdt', 'low': '0.0876860351', 'buy': '0.0941298134', 'high': '0.1058401438'}"
XEM_USDT,XEM_USDT,1709579778000,2024-03-04T19:16:18.000Z,0.05139,0.04577,0.04956,,0.04968,,0.048355669082684405,,0.04953,0.04953,,,6.63,,5826806.0,281759.102745,"{'date': 1709579778, 'vol': '5826806', 'change': '6.63', 'base_vol': '281759.102745', 'sell': '0.04968', 'last': '0.04953', 'symbol': 'xem_usdt', 'low': '0.04577', 'buy': '0.04956', 'high': '0.05139'}"
XCH_USDT,XCH_USDT,1709579778000,2024-03-04T19:16:18.000Z,52.9734,49.0811,51.0886,,51.477,,51.0749260459304,,51.1824,51.1824,,,1.66,,34589.0512,1766633.2320389,"{'date': 1709579778, 'vol': '34589.0512', 'change': '1.66', 'base_vol': '1766633.2320389', 'sell': '51.477', 'last': '51.1824', 'symbol': 'xch_usdt', 'low': '49.0811', 'buy': '51.0886', 'high': '52.9734'}"
