,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
TABOO/USDT,TABOO/USDT,,,0.00202,0.001712,0.001761,,0.001791,,0.001891184837918948,,0.001784,0.001784,,,-6.44,,17652557.135698,33384.24840553,"{'currency_pair': 'TABOO_USDT', 'last': '0.001784', 'lowest_ask': '0.001791', 'highest_bid': '0.001761', 'change_percentage': '-6.44', 'change_utc0': '-9.53', 'change_utc8': '-6.3', 'base_volume': '17652557.135698', 'quote_volume': '33384.24840553', 'high_24h': '0.00202', 'low_24h': '0.001712'}"
OP3L/USDT,OP3L/USDT,,,7.6885,6.4221,6.7981,,6.894,,6.971683819018836,,6.7928,6.7928,,,-7.63,,7107.48,49551.10331,"{'currency_pair': 'OP3L_USDT', 'last': '6.7928', 'lowest_ask': '6.894', 'highest_bid': '6.7981', 'change_percentage': '-7.63', 'change_utc0': '-10.03', 'change_utc8': '-1.01', 'base_volume': '7107.48', 'quote_volume': '49551.10331', 'high_24h': '7.6885', 'low_24h': '6.4221', 'etf_net_value': '6.84598310', 'etf_pre_net_value': '6.91537106', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.3131762449127717'}"
PSG/USDT,PSG/USDT,,,4.696,4.099,4.252,,4.253,,4.360285976036249,,4.279,4.279,,,-4.23,,13044.300737257,56876.881571861,"{'currency_pair': 'PSG_USDT', 'last': '4.279', 'lowest_ask': '4.253', 'highest_bid': '4.252', 'change_percentage': '-4.23', 'change_utc0': '-4.78', 'change_utc8': '-2.35', 'base_volume': '13044.300737257', 'quote_volume': '56876.881571861', 'high_24h': '4.696', 'low_24h': '4.099'}"
BAKE/USDT,BAKE/USDT,,,0.47316,0.421,0.43301,,0.43367,,0.4486684747702506,,0.43263,0.43263,,,-3.6,,967464.87223564,434070.98861976,"{'currency_pair': 'BAKE_USDT', 'last': '0.43263', 'lowest_ask': '0.43367', 'highest_bid': '0.43301', 'change_percentage': '-3.6', 'change_utc0': '-4.12', 'change_utc8': '-4.92', 'base_volume': '967464.87223564', 'quote_volume': '434070.98861976', 'high_24h': '0.47316', 'low_24h': '0.421'}"
BLOCK/USDT,BLOCK/USDT,,,0.06698,0.05474,0.06064,,0.06224,,0.06138347964069723,,0.06152,0.06152,,,-4.51,,762454.21229632,46802.092617455,"{'currency_pair': 'BLOCK_USDT', 'last': '0.06152', 'lowest_ask': '0.06224', 'highest_bid': '0.06064', 'change_percentage': '-4.51', 'change_utc0': '-4.48', 'change_utc8': '-3.87', 'base_volume': '762454.21229632', 'quote_volume': '46802.092617455', 'high_24h': '0.06698', 'low_24h': '0.05474'}"
DOGE/BTC,DOGE/BTC,,,2.779e-06,2.328e-06,2.607e-06,,2.613e-06,,2.562736971333e-06,,2.612e-06,2.612e-06,,,11.67,,6482696.4343460305,16.613445826230887,"{'currency_pair': 'DOGE_BTC', 'last': '0.000002612', 'lowest_ask': '0.000002613', 'highest_bid': '0.000002607', 'change_percentage': '11.67', 'change_utc0': '7.48', 'change_utc8': '1.08', 'base_volume': '6482696.4343460304', 'quote_volume': '16.6134458262308866672', 'high_24h': '0.000002779', 'low_24h': '0.000002328'}"
SUKU/ETH,SUKU/ETH,,,3.18e-05,2.78e-05,2.8e-05,,2.83e-05,,2.9045589730692e-05,,2.81e-05,2.81e-05,,,-3.76,,171590.6085682845,4.983950418114203,"{'currency_pair': 'SUKU_ETH', 'last': '0.0000281', 'lowest_ask': '0.0000283', 'highest_bid': '0.000028', 'change_percentage': '-3.76', 'change_utc0': '-1.4', 'change_utc8': '-0.35', 'base_volume': '171590.6085682845', 'quote_volume': '4.98395041811420277', 'high_24h': '0.0000318', 'low_24h': '0.0000278'}"
XCUR/USDT,XCUR/USDT,,,0.048,0.033,0.03638,,0.036564,,0.03647284332671262,,0.036462,0.036462,,,1.1,,1737204.4124519,63360.784361832,"{'currency_pair': 'XCUR_USDT', 'last': '0.036462', 'lowest_ask': '0.036564', 'highest_bid': '0.03638', 'change_percentage': '1.1', 'change_utc0': '0.94', 'change_utc8': '3.1', 'base_volume': '1737204.4124519', 'quote_volume': '63360.784361832', 'high_24h': '0.048', 'low_24h': '0.033'}"
PDEX/USDT,PDEX/USDT,,,1.34,0.9668,1.1989,,1.2218,,1.2301883770785504,,1.2087,1.2087,,,-6.6,,36380.581938767,44754.969052425,"{'currency_pair': 'PDEX_USDT', 'last': '1.2087', 'lowest_ask': '1.2218', 'highest_bid': '1.1989', 'change_percentage': '-6.6', 'change_utc0': '-6.52', 'change_utc8': '0.37', 'base_volume': '36380.581938767', 'quote_volume': '44754.969052425', 'high_24h': '1.34', 'low_24h': '0.9668'}"
FTT3S/USDT,FTT3S/USDT,,,0.0588,0.04404,0.05563,,0.05677,,0.05044126129364171,,0.05561,0.05561,,,17.99,,212006.46,10693.8732448,"{'currency_pair': 'FTT3S_USDT', 'last': '0.05561', 'lowest_ask': '0.05677', 'highest_bid': '0.05563', 'change_percentage': '17.99', 'change_utc0': '20.81', 'change_utc8': '3.46', 'base_volume': '212006.46', 'quote_volume': '10693.8732448', 'high_24h': '0.0588', 'low_24h': '0.04404', 'etf_net_value': '0.05619970', 'etf_pre_net_value': '0.05120231', 'etf_pre_timestamp': '1709568000', 'etf_leverage': '2.0065573356243998'}"
KONO/ETH,KONO/ETH,,,7.62e-06,6.85e-06,6.93e-06,,7.11e-06,,7.108949882378e-06,,7.01e-06,7.01e-06,,,0.71,,690296.1460666222,4.907280706386778,"{'currency_pair': 'KONO_ETH', 'last': '0.00000701', 'lowest_ask': '0.00000711', 'highest_bid': '0.00000693', 'change_percentage': '0.71', 'change_utc0': '1.44', 'change_utc8': '-6.28', 'base_volume': '690296.1460666222', 'quote_volume': '4.907280706386777959', 'high_24h': '0.00000762', 'low_24h': '0.00000685'}"
