,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
AIDOGE/USDT,AIDOGE/USDT,1711986401000,2024-04-01T15:46:41.000Z,6e-10,5.7e-10,5.6e-10,,5.8e-10,,5.79192657e-10,6e-10,5.7e-10,5.7e-10,,-3e-11,-5.0,5.85e-10,380799860000.0,220.5564827,"{'ask': '0.00000000058', 'bid': '0.00000000056', 'last': '0.00000000057', 'low': '0.00000000057', 'high': '0.00000000060', 'open': '0.00000000060', 'volume': '380799860000', 'volume_quote': '220.55648270000', 'timestamp': '2024-04-01T15:46:41.000Z'}"
SHIB/USDT,SHIB/USDT,1711986405369,2024-04-01T15:46:45.369Z,3.079e-05,2.76116e-05,2.82885e-05,,2.82886e-05,,2.958155897885e-05,3.04292e-05,2.82671e-05,2.82671e-05,,-2.1621e-06,-7.105346180642278,2.934815e-05,47716154000.0,1411518.2237949,"{'ask': '0.0000282886', 'bid': '0.0000282885', 'last': '0.0000282671', 'low': '0.0000276116', 'high': '0.0000307900', 'open': '0.0000304292', 'volume': '47716154000', 'volume_quote': '1411518.2237949000', 'timestamp': '2024-04-01T15:46:45.369Z'}"
SHIB/USDT:USDT,SHIB/USDT:USDT,1711986405424,2024-04-01T15:46:45.424Z,3.0744e-05,2.7465e-05,2.8248e-05,,2.8275e-05,,2.9236648631029e-05,3.0394e-05,2.8269e-05,2.8269e-05,,-2.125e-06,-6.991511482529447,2.93315e-05,38235596000.0,1117880.68545,"{'ask': '0.000028275', 'bid': '0.000028248', 'last': '0.000028269', 'low': '0.000027465', 'high': '0.000030744', 'open': '0.000030394', 'volume': '38235596000', 'volume_quote': '1117880.685450000', 'timestamp': '2024-04-01T15:46:45.424Z'}"
PEPE/USDT,PEPE/USDT,1711986405269,2024-04-01T15:46:45.269Z,8.9315e-06,7.61e-06,7.8136e-06,,7.8174e-06,,8.155882457438e-06,8.8095e-06,7.81e-06,7.81e-06,,-9.995e-07,-11.345706339746863,8.30975e-06,3621820000.0,29539.138202,"{'ask': '0.0000078174', 'bid': '0.0000078136', 'last': '0.0000078100', 'low': '0.0000076100', 'high': '0.0000089315', 'open': '0.0000088095', 'volume': '3621820000', 'volume_quote': '29539.1382020000', 'timestamp': '2024-04-01T15:46:45.269Z'}"
SHIB/BTC,SHIB/BTC,1711986405069,2024-04-01T15:46:45.069Z,4.2e-10,4e-10,4.1e-10,,4.2e-10,,4.18854784e-10,4.3e-10,4.1e-10,4.1e-10,,-2e-11,-4.651162790697675,4.2e-10,1314024000.0,0.55038524,"{'ask': '0.00000000042', 'bid': '0.00000000041', 'last': '0.00000000041', 'low': '0.00000000040', 'high': '0.00000000042', 'open': '0.00000000043', 'volume': '1314024000', 'volume_quote': '0.55038524000', 'timestamp': '2024-04-01T15:46:45.069Z'}"
WIN/USDT,WIN/USDT,1711986404468,2024-04-01T15:46:44.468Z,0.000169278,0.000158539,0.000158284,,0.000158416,,0.000164666036972059,0.00016803,0.000158545,0.000158545,,-9.485e-06,-5.644825328810332,0.0001632875,1269669600.0,209071.4612959,"{'ask': '0.000158416', 'bid': '0.000158284', 'last': '0.000158545', 'low': '0.000158539', 'high': '0.000169278', 'open': '0.000168030', 'volume': '1269669600', 'volume_quote': '209071.461295900', 'timestamp': '2024-04-01T15:46:44.468Z'}"
HELIOS/USDT,HELIOS/USDT,1711986397001,2024-04-01T15:46:37.001Z,1.46e-08,1.44e-08,1.43e-08,,1.45e-08,,1.4577696078e-08,1.52e-08,1.44e-08,1.44e-08,,-8e-10,-5.2631578947368425,1.48e-08,834907000.0,12.1710205,"{'ask': '0.0000000145', 'bid': '0.0000000143', 'last': '0.0000000144', 'low': '0.0000000144', 'high': '0.0000000146', 'open': '0.0000000152', 'volume': '834907000', 'volume_quote': '12.1710205000', 'timestamp': '2024-04-01T15:46:37.001Z'}"
XEN/USDT,XEN/USDT,1711986397001,2024-04-01T15:46:37.001Z,1.8e-09,1.7e-09,1.7e-09,,1.9e-09,,1.754776477e-09,2e-09,1.7e-09,1.7e-09,,-3e-10,-15.0,1.85e-09,429710000.0,0.754045,"{'ask': '0.0000000019', 'bid': '0.0000000017', 'last': '0.0000000017', 'low': '0.0000000017', 'high': '0.0000000018', 'open': '0.0000000020', 'volume': '429710000', 'volume_quote': '0.7540450000', 'timestamp': '2024-04-01T15:46:37.001Z'}"
BTT/USDT,BTT/USDT,1711986404468,2024-04-01T15:46:44.468Z,1.641e-06,1.491e-06,1.49e-06,,1.501e-06,,1.60591929338e-06,1.601e-06,1.491e-06,1.491e-06,,-1.1e-07,-6.870705808869457,1.546e-06,409669000.0,657.895351,"{'ask': '0.000001501', 'bid': '0.000001490', 'last': '0.000001491', 'low': '0.000001491', 'high': '0.000001641', 'open': '0.000001601', 'volume': '409669000', 'volume_quote': '657.895351000', 'timestamp': '2024-04-01T15:46:44.468Z'}"
HOT/USDT,HOT/USDT,1711986404969,2024-04-01T15:46:44.969Z,0.003494111,0.003151002,0.003169682,,0.003172318,,0.003327988605006261,0.003385382,0.003178415,0.003178415,,-0.000206967,-6.1135493719763385,0.0032818985,169052300.0,562604.1280501,"{'ask': '0.003172318', 'bid': '0.003169682', 'last': '0.003178415', 'low': '0.003151002', 'high': '0.003494111', 'open': '0.003385382', 'volume': '169052300', 'volume_quote': '562604.128050100', 'timestamp': '2024-04-01T15:46:44.969Z'}"
