,symbol,info,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
TRX/USDT,TRX/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.12315', 'close': '0.12027', 'high': '0.12338', 'low': '0.11976', 'last': '0.12027', 'volume': '10273121', 'symbol': 'trx-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.12338,0.11976,,,,,,0.12315,0.12027,0.12027,,-0.00288,-2.338611449451888,0.12171,10273121.0,
DOGE/USDT,DOGE/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.213135', 'close': '0.200581', 'high': '0.223322', 'low': '0.198025', 'last': '0.200581', 'volume': '7286670', 'symbol': 'doge-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.223322,0.198025,,,,,,0.213135,0.200581,0.200581,,-0.012554,-5.890163511389495,0.206858,7286670.0,
XLM/USDT,XLM/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.13985', 'close': '0.1339', 'high': '0.14255', 'low': '0.1327', 'last': '0.1339', 'volume': '5836185', 'symbol': 'xlm-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.14255,0.1327,,,,,,0.13985,0.1339,0.1339,,-0.00595,-4.254558455488023,0.136875,5836185.0,
KLAY/USDT,KLAY/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.2634', 'close': '0.2536', 'high': '0.2666', 'low': '0.25035', 'last': '0.2536', 'volume': '2067652', 'symbol': 'klay-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.2666,0.25035,,,,,,0.2634,0.2536,0.2536,,-0.0098,-3.7205770690964313,0.2585,2067652.0,
MATIC/USDT,MATIC/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.99855', 'close': '0.94045', 'high': '1.00656', 'low': '0.93571', 'last': '0.94045', 'volume': '820627', 'symbol': 'matic-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,1.00656,0.93571,,,,,,0.99855,0.94045,0.94045,,-0.0581,-5.818436733263232,0.9695,820627.0,
ADA/USDT,ADA/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.64663', 'close': '0.61204', 'high': '0.6516', 'low': '0.60675', 'last': '0.61204', 'volume': '699672', 'symbol': 'ada-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.6516,0.60675,,,,,,0.64663,0.61204,0.61204,,-0.03459,-5.349272381423689,0.629335,699672.0,
XHT/USDT,XHT/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.2719', 'close': '0.2668', 'high': '0.2783', 'low': '0.2659', 'last': '0.2668', 'volume': '330548', 'symbol': 'xht-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.2783,0.2659,,,,,,0.2719,0.2668,0.2668,,-0.0051,-1.875689591761677,0.26935,330548.0,
MANA/USDT,MANA/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.6617', 'close': '0.6202', 'high': '0.6753', 'low': '0.6157', 'last': '0.6202', 'volume': '238749', 'symbol': 'mana-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.6753,0.6157,,,,,,0.6617,0.6202,0.6202,,-0.0415,-6.271724346380535,0.64095,238749.0,
EOS/USDT,EOS/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '1.0902', 'close': '1.0287', 'high': '1.112', 'low': '1.0224', 'last': '1.0287', 'volume': '222030', 'symbol': 'eos-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,1.112,1.0224,,,,,,1.0902,1.0287,1.0287,,-0.0615,-5.641166758392956,1.05945,222030.0,
SAND/USDT,SAND/USDT,"{'time': '2024-03-31T15:46:47.683Z', 'open': '0.6992', 'close': '0.6524', 'high': '0.7068', 'low': '0.605', 'last': '0.6524', 'volume': '216189', 'symbol': 'sand-usdt'}",1711900007683.0,2024-03-31T15:46:47.683Z,0.7068,0.605,,,,,,0.6992,0.6524,0.6524,,-0.0468,-6.693363844393593,0.6758,216189.0,
