,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
1INCH/EUR,1INCH/EUR,,,0.562,0.519,0.536,,0.537,,0.54025,0.545,0.536,0.536,,-0.009,-1.6513761467889907,0.5405,101518.85685729,54845.56241715092,"{'a': ['0.53700', '12993', '12993.000'], 'b': ['0.53600', '12409', '12409.000'], 'c': ['0.53600', '925.08727099'], 'v': ['95239.53945209', '101518.85685729'], 'p': ['0.54054', '0.54025'], 't': ['208', '234'], 'l': ['0.51900', '0.51900'], 'h': ['0.56200', '0.56200'], 'o': '0.54500'}"
1INCH/USD,1INCH/USD,,,0.612,0.563,0.582,,0.583,,0.58442,0.592,0.58,0.58,,-0.012,-2.027027027027027,0.586,252676.41997169,147669.15335985506,"{'a': ['0.58300', '12999', '12999.000'], 'b': ['0.58200', '15058', '15058.000'], 'c': ['0.58000', '14.35344827'], 'v': ['217936.40038456', '252676.41997169'], 'p': ['0.58460', '0.58442'], 't': ['623', '699'], 'l': ['0.56300', '0.56300'], 'h': ['0.61200', '0.61200'], 'o': '0.59200'}"
AAVE/ETH,AAVE/ETH,,,0.0328,0.031,0.0316,,0.0317,,0.03203,0.0322,0.0316,0.0316,,-0.0006,-1.8633540372670807,0.0319,8167.81113421,261.6149906287463,"{'a': ['0.03170', '34', '34.000'], 'b': ['0.03160', '1', '1.000'], 'c': ['0.03160', '0.06693512'], 'v': ['7044.41625326', '8167.81113421'], 'p': ['0.03200', '0.03203'], 't': ['98594', '115062'], 'l': ['0.03100', '0.03100'], 'h': ['0.03280', '0.03280'], 'o': '0.03220'}"
AAVE/EUR,AAVE/EUR,,,106.33,101.7,104.49,,104.54,,103.71076,103.27,104.58,104.58,,1.31,1.2685194151253993,103.925,3940.5212197,408674.450491214,"{'a': ['104.54000', '9', '9.000'], 'b': ['104.49000', '9', '9.000'], 'c': ['104.58000', '0.05000000'], 'v': ['3696.00553046', '3940.52121970'], 'p': ['103.73085', '103.71076'], 't': ['920', '1010'], 'l': ['101.70000', '101.70000'], 'h': ['106.33000', '106.33000'], 'o': '103.27000'}"
AAVE/GBP,AAVE/GBP,,,90.94,87.09,89.42,,89.48,,89.52972,88.76,89.49,89.49,,0.73,0.8224425416854438,89.125,725.61011347,64963.67028813733,"{'a': ['89.48000', '1', '1.000'], 'b': ['89.42000', '3', '3.000'], 'c': ['89.49000', '0.07122844'], 'v': ['674.92468988', '725.61011347'], 'p': ['89.57702', '89.52972'], 't': ['281', '289'], 'l': ['87.09000', '87.09000'], 'h': ['90.94000', '90.94000'], 'o': '88.76000'}"
AAVE/USD,AAVE/USD,,,115.55,110.3,113.49,,113.55,,112.87399,112.66,113.49,113.49,,0.83,0.7367299840227232,113.075,6258.62207591,706435.6456100446,"{'a': ['113.55000', '9', '9.000'], 'b': ['113.49000', '10', '10.000'], 'c': ['113.49000', '0.21139786'], 'v': ['5652.50193700', '6258.62207591'], 'p': ['112.90599', '112.87399'], 't': ['2929', '3244'], 'l': ['110.30000', '110.30000'], 'h': ['115.55000', '115.55000'], 'o': '112.66000'}"
AAVE/BTC,AAVE/BTC,,,0.001802,0.00165,0.001707,,0.001708,,0.0017409,0.001787,0.001709,0.001709,,-7.8e-05,-4.364857302742026,0.001748,9093.26076339,15.830457662985651,"{'a': ['0.0017080', '2', '2.000'], 'b': ['0.0017070', '6', '6.000'], 'c': ['0.0017090', '0.06693975'], 'v': ['7918.35008331', '9093.26076339'], 'p': ['0.0017339', '0.0017409'], 't': ['98551', '114961'], 'l': ['0.0016500', '0.0016500'], 'h': ['0.0017910', '0.0018020'], 'o': '0.0017870'}"
ACA/EUR,ACA/EUR,,,0.133,0.116,0.117,,0.121,,0.12385,0.124,0.121,0.121,,-0.003,-2.4193548387096775,0.1225,272254.7191189,33718.74696287577,"{'a': ['0.12100', '102', '102.000'], 'b': ['0.11700', '681', '681.000'], 'c': ['0.12100', '1450.67967479'], 'v': ['203871.39370170', '272254.71911890'], 'p': ['0.12329', '0.12385'], 't': ['182', '227'], 'l': ['0.11600', '0.11600'], 'h': ['0.13300', '0.13300'], 'o': '0.12400'}"
ACA/USD,ACA/USD,,,0.142,0.127,0.128,,0.131,,0.13367,0.133,0.13,0.13,,-0.003,-2.255639097744361,0.1315,301648.05154462,40321.295049969354,"{'a': ['0.13100', '570', '570.000'], 'b': ['0.12800', '137', '137.000'], 'c': ['0.13000', '1328.92861954'], 'v': ['238343.20953204', '301648.05154462'], 'p': ['0.13235', '0.13367'], 't': ['291', '377'], 'l': ['0.12700', '0.12700'], 'h': ['0.13700', '0.14200'], 'o': '0.13300'}"
ACH/EUR,ACH/EUR,,,0.02866,0.026,0.02677,,0.02679,,0.0269467,0.02652,0.02676,0.02676,,0.00024,0.9049773755656108,0.02664,7617903.92517843,205277.3717006056,"{'a': ['0.0267900', '62854', '62854.000'], 'b': ['0.0267700', '68810', '68810.000'], 'c': ['0.0267600', '338.66973000'], 'v': ['7220647.12273239', '7617903.92517843'], 'p': ['0.0269686', '0.0269467'], 't': ['612', '656'], 'l': ['0.0260000', '0.0260000'], 'h': ['0.0286600', '0.0286600'], 'o': '0.0265200'}"
ACH/USD,ACH/USD,,,0.03113,0.02818,0.02907,,0.02909,,0.0294477,0.02909,0.02912,0.02912,,3e-05,0.1031282227569611,0.029105,38070054.09485016,1121075.531968919,"{'a': ['0.0290900', '66385', '66385.000'], 'b': ['0.0290700', '68793', '68793.000'], 'c': ['0.0291200', '2088.57964458'], 'v': ['35567649.06900423', '38070054.09485016'], 'p': ['0.0294964', '0.0294477'], 't': ['1894', '2002'], 'l': ['0.0281800', '0.0281800'], 'h': ['0.0311300', '0.0311300'], 'o': '0.0290900'}"
ADA/AUD,ADA/AUD,,,1.22222,1.10961,1.18077,,1.18521,,1.162187,1.111,1.18338,1.18338,,0.07238,6.514851485148514,1.14719,105926.37696766,123106.25826891387,"{'a': ['1.185210', '3897', '3897.000'], 'b': ['1.180770', '3176', '3176.000'], 'c': ['1.183380', '17.20978631'], 'v': ['74130.62020069', '105926.37696766'], 'p': ['1.179055', '1.162187'], 't': ['237', '260'], 'l': ['1.109610', '1.109610'], 'h': ['1.222220', '1.222220'], 'o': '1.111000'}"
ADA/ETH,ADA/ETH,,,0.0002297,0.0002079,0.0002148,,0.000215,,0.000217681,0.0002087,0.000214,0.000214,,5.3e-06,2.5395304264494487,0.00021135,1312805.27612484,285.7727653121313,"{'a': ['0.000215000', '5831', '5831.000'], 'b': ['0.000214800', '7787', '7787.000'], 'c': ['0.000214000', '26.95170940'], 'v': ['1031250.47785864', '1312805.27612484'], 'p': ['0.000219759', '0.000217681'], 't': ['27078', '33574'], 'l': ['0.000207900', '0.000207900'], 'h': ['0.000229700', '0.000229700'], 'o': '0.000208700'}"
ADA/EUR,ADA/EUR,,,0.7359,0.667807,0.710319,,0.71052,,0.708711,0.671409,0.709776,0.709776,,0.038367,5.71440061125186,0.6905925,20909813.39739053,14819014.76267804,"{'a': ['0.710520', '5045', '5045.000'], 'b': ['0.710319', '4539', '4539.000'], 'c': ['0.709776', '460.87689376'], 'v': ['20053818.71433646', '20909813.39739053'], 'p': ['0.710247', '0.708711'], 't': ['12297', '13113'], 'l': ['0.667948', '0.667807'], 'h': ['0.735900', '0.735900'], 'o': '0.671409'}"
