,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
DEGEN/USDT,DEGEN/USDT,1711986414000,2024-04-01T15:46:54.000Z,4e-07,3.5e-07,3.11e-08,,7e-07,,,,3.5e-07,3.5e-07,,,,,5768890867.0,,"{'buy': '0.0000000311', 'sell': '0.0000007', 'low': '0.00000035', 'high': '0.0000004', 'last': '0.00000035', 'vol': '5768890867.0', 'volume': '5768890867.0', 'funds': '2280.7081519332'}"
HOT/USDT,HOT/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.0034919,0.0030738,0.0030913,,0.0031854,,,,0.0031776,0.0031776,,,,,188642743.0,,"{'buy': '0.0030913', 'sell': '0.0031854', 'low': '0.0030738', 'high': '0.0034919', 'last': '0.0031776', 'vol': '188642743.0', 'volume': '188642743.0', 'funds': '633975.4128751'}"
HOT/VET,HOT/VET,1711986414000,2024-04-01T15:46:54.000Z,0.0748,0.0706,0.0707,,0.0725,,,,0.0724,0.0724,,,,,187114718.0,,"{'buy': '0.0707', 'sell': '0.0725', 'low': '0.0706', 'high': '0.0748', 'last': '0.0724', 'vol': '187114718.0', 'volume': '187114718.0', 'funds': '13671885.0991'}"
VTHO/VET,VTHO/VET,1711986414000,2024-04-01T15:46:54.000Z,0.0958,0.0905,0.0923,,0.0924,,,,0.0924,0.0924,,,,,109331869.0,,"{'buy': '0.0923', 'sell': '0.0924', 'low': '0.0905', 'high': '0.0958', 'last': '0.0924', 'vol': '109331869.0', 'volume': '109331869.0', 'funds': '10206681.699'}"
VET/BTC,VET/BTC,1711986414000,2024-04-01T15:46:54.000Z,6.74e-07,6.33e-07,6.34e-07,,6.39e-07,,,,6.37e-07,6.37e-07,,,,,31194168.0,,"{'buy': '0.000000634', 'sell': '0.000000639', 'low': '0.000000633', 'high': '0.000000674', 'last': '0.000000637', 'vol': '31194168.0', 'volume': '31194168.0', 'funds': '20.364861712'}"
VET/ETH,VET/ETH,1711986414000,2024-04-01T15:46:54.000Z,1.318e-05,1.252e-05,1.257e-05,,1.259e-05,,,,1.258e-05,1.258e-05,,,,,19123039.0,,"{'buy': '0.00001257', 'sell': '0.00001259', 'low': '0.00001252', 'high': '0.00001318', 'last': '0.00001258', 'vol': '19123039.0', 'volume': '19123039.0', 'funds': '244.57435084'}"
VET/USDT,VET/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.047487,0.043279,0.043112,,0.043801,,,,0.04373,0.04373,,,,,15912295.8,,"{'buy': '0.043112', 'sell': '0.043801', 'low': '0.043279', 'high': '0.047487', 'last': '0.04373', 'vol': '15912295.8', 'volume': '15912295.8', 'funds': '730196.104311'}"
DOGE/VET,DOGE/VET,1711986414000,2024-04-01T15:46:54.000Z,4.8577,4.4138,4.4762,,4.6003,,,,4.5871,4.5871,,,,,11581391.0,,"{'buy': '4.4762', 'sell': '4.6003', 'low': '4.4138', 'high': '4.8577', 'last': '4.5871', 'vol': '11581391.0', 'volume': '11581391.0', 'funds': '53451794.32'}"
DOGE/USDT,DOGE/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.2239947,0.1974613,0.2005037,,0.2008614,,,,0.2006504,0.2006504,,,,,7015335.0,,"{'buy': '0.2005037', 'sell': '0.2008614', 'low': '0.1974613', 'high': '0.2239947', 'last': '0.2006504', 'vol': '7015335.0', 'volume': '7015335.0', 'funds': '1488703.862932'}"
VTHO/BTC,VTHO/BTC,1711986414000,2024-04-01T15:46:54.000Z,6.21e-08,5.82e-08,5.83e-08,,6.03e-08,,,,5.86e-08,5.86e-08,,,,,5582714.0,,"{'buy': '0.0000000583', 'sell': '0.0000000603', 'low': '0.0000000582', 'high': '0.0000000621', 'last': '0.0000000586', 'vol': '5582714.0', 'volume': '5582714.0', 'funds': '0.3350690849'}"
IPX/BTC,IPX/BTC,1711986414000,2024-04-01T15:46:54.000Z,9e-09,9e-09,8e-09,,1e-08,,,,9e-09,9e-09,,,,,5509455.03,,"{'buy': '0.000000008', 'sell': '0.00000001', 'low': '0.000000009', 'high': '0.000000009', 'last': '0.000000009', 'vol': '5509455.03', 'volume': '5509455.03', 'funds': '0.04958509527'}"
VTHO/USDT,VTHO/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.00433,0.003998,0.004001,,0.004231,,,,0.004001,0.004001,,,,,5502553.0,,"{'buy': '0.004001', 'sell': '0.004231', 'low': '0.003998', 'high': '0.00433', 'last': '0.004001', 'vol': '5502553.0', 'volume': '5502553.0', 'funds': '23058.643621'}"
XLM/VET,XLM/VET,1711986414000,2024-04-01T15:46:54.000Z,3.079,2.956,3.054,,3.056,,,,3.054,3.054,,,,,3625604.0,,"{'buy': '3.054', 'sell': '3.056', 'low': '2.956', 'high': '3.079', 'last': '3.054', 'vol': '3625604.0', 'volume': '3625604.0', 'funds': '10949257.718'}"
XRP/VET,XRP/VET,1711986414000,2024-04-01T15:46:54.000Z,13.8,13.21,13.77,,13.79,,,,13.78,13.78,,,,,2241601.1,,"{'buy': '13.77', 'sell': '13.79', 'low': '13.21', 'high': '13.8', 'last': '13.78', 'vol': '2241601.1', 'volume': '2241601.1', 'funds': '30332966.341'}"
VSYS/BTC,VSYS/BTC,1711986414000,2024-04-01T15:46:54.000Z,3.1e-08,2.5e-08,2.5e-08,,3.1e-08,,,,3e-08,3e-08,,,,,1589217.0,,"{'buy': '0.000000025', 'sell': '0.000000031', 'low': '0.000000025', 'high': '0.000000031', 'last': '0.00000003', 'vol': '1589217.0', 'volume': '1589217.0', 'funds': '0.0454720995'}"
XRP/USDT,XRP/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.63307,0.59564,0.60236,,0.60273,,,,0.60255,0.60255,,,,,1512998.7,,"{'buy': '0.60236', 'sell': '0.60273', 'low': '0.59564', 'high': '0.63307', 'last': '0.60255', 'vol': '1512998.7', 'volume': '1512998.7', 'funds': '939695.812063'}"
XLM/USDT,XLM/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.14257,0.13235,0.13285,,0.13492,,,,0.13353,0.13353,,,,,1215620.3,,"{'buy': '0.13285', 'sell': '0.13492', 'low': '0.13235', 'high': '0.14257', 'last': '0.13353', 'vol': '1215620.3', 'volume': '1215620.3', 'funds': '169284.427217'}"
SHA/BTC,SHA/BTC,1711986414000,2024-04-01T15:46:54.000Z,7e-09,7e-09,5e-09,,6e-09,,,,7e-09,7e-09,,,,,1048829.0,,"{'buy': '0.000000005', 'sell': '0.000000006', 'low': '0.000000007', 'high': '0.000000007', 'last': '0.000000007', 'vol': '1048829.0', 'volume': '1048829.0', 'funds': '0.007341803'}"
SHA/VET,SHA/VET,1711986414000,2024-04-01T15:46:54.000Z,0.0097,0.0092,0.0075,,0.0101,,,,0.0096,0.0096,,,,,873528.0,,"{'buy': '0.0075', 'sell': '0.0101', 'low': '0.0092', 'high': '0.0097', 'last': '0.0096', 'vol': '873528.0', 'volume': '873528.0', 'funds': '8196.4791'}"
ADA/USDT,ADA/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.65151,0.60608,0.61202,,0.61219,,,,0.61199,0.61199,,,,,793001.5,,"{'buy': '0.61202', 'sell': '0.61219', 'low': '0.60608', 'high': '0.65151', 'last': '0.61199', 'vol': '793001.5', 'volume': '793001.5', 'funds': '506756.474091'}"
OCE/BTC,OCE/BTC,1711986414000,2024-04-01T15:46:54.000Z,7e-09,5e-09,5e-09,,6e-09,,,,5e-09,5e-09,,,,,668017.0,,"{'buy': '0.000000005', 'sell': '0.000000006', 'low': '0.000000005', 'high': '0.000000007', 'last': '0.000000005', 'vol': '668017.0', 'volume': '668017.0', 'funds': '0.003368801'}"
SHA/USDT,SHA/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.000307,0.000306,0.00036,,0.000458,,,,0.000307,0.000307,,,,,651670.0,,"{'buy': '0.00036', 'sell': '0.000458', 'low': '0.000306', 'high': '0.000307', 'last': '0.000307', 'vol': '651670.0', 'volume': '651670.0', 'funds': '199.430614'}"
ADA/VET,ADA/VET,1711986414000,2024-04-01T15:46:54.000Z,14.186,13.56,13.996,,14.007,,,,13.996,13.996,,,,,421533.0,,"{'buy': '13.996', 'sell': '14.007', 'low': '13.56', 'high': '14.186', 'last': '13.996', 'vol': '421533.0', 'volume': '421533.0', 'funds': '5870300.015'}"
USDC/USDT,USDC/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.0003,0.999,0.9999,,1.0002,,,,0.9998,0.9998,,,,,347353.25,,"{'buy': '0.9999', 'sell': '1.0002', 'low': '0.999', 'high': '1.0003', 'last': '0.9998', 'vol': '347353.25', 'volume': '347353.25', 'funds': '347262.516254'}"
OCE/VET,OCE/VET,1711986414000,2024-04-01T15:46:54.000Z,0.0093,0.0085,0.0089,,0.0092,,,,0.009,0.009,,,,,340565.0,,"{'buy': '0.0089', 'sell': '0.0092', 'low': '0.0085', 'high': '0.0093', 'last': '0.009', 'vol': '340565.0', 'volume': '340565.0', 'funds': '3027.9408'}"
XTZ/VET,XTZ/VET,1711986414000,2024-04-01T15:46:54.000Z,30.59,29.44,30.28,,30.31,,,,30.31,30.31,,,,,247894.872,,"{'buy': '30.28', 'sell': '30.31', 'low': '29.44', 'high': '30.59', 'last': '30.31', 'vol': '247894.872', 'volume': '247894.872', 'funds': '7470556.11735'}"
OCE/USDT,OCE/USDT,1711986414000,2024-04-01T15:46:54.000Z,0.000433,0.000386,0.000376,,0.000397,,,,0.000388,0.000388,,,,,235848.0,,"{'buy': '0.000376', 'sell': '0.000397', 'low': '0.000386', 'high': '0.000433', 'last': '0.000388', 'vol': '235848.0', 'volume': '235848.0', 'funds': '95.815753'}"
XTZ/USDT,XTZ/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.415,1.3158,1.3255,,1.3263,,,,1.326,1.326,,,,,191610.139,,"{'buy': '1.3255', 'sell': '1.3263', 'low': '1.3158', 'high': '1.415', 'last': '1.326', 'vol': '191610.139', 'volume': '191610.139', 'funds': '262793.3463237'}"
OMG/USDT,OMG/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.1298,1.0211,1.0194,,1.0401,,,,1.0311,1.0311,,,,,181890.18,,"{'buy': '1.0194', 'sell': '1.0401', 'low': '1.0211', 'high': '1.1298', 'last': '1.0311', 'vol': '181890.18', 'volume': '181890.18', 'funds': '198557.199091'}"
EOS/USDT,EOS/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.1137,1.0174,1.0272,,1.0277,,,,1.0271,1.0271,,,,,153504.11,,"{'buy': '1.0272', 'sell': '1.0277', 'low': '1.0174', 'high': '1.1137', 'last': '1.0271', 'vol': '153504.11', 'volume': '153504.11', 'funds': '165814.456715'}"
EOS/BTC,EOS/BTC,1711986414000,2024-04-01T15:46:54.000Z,1.572e-05,1.49e-05,1.496e-05,,1.499e-05,,,,1.496e-05,1.496e-05,,,,,143201.36,,"{'buy': '0.00001496', 'sell': '0.00001499', 'low': '0.0000149', 'high': '0.00001572', 'last': '0.00001496', 'vol': '143201.36', 'volume': '143201.36', 'funds': '2.2006617367'}"
ATOM/USDT,ATOM/USDT,1711986414000,2024-04-01T15:46:54.000Z,12.38303,11.41388,11.52684,,11.53561,,,,11.53561,11.53561,,,,,90815.7,,"{'buy': '11.52684', 'sell': '11.53561', 'low': '11.41388', 'high': '12.38303', 'last': '11.53561', 'vol': '90815.7', 'volume': '90815.7', 'funds': '1097734.926434'}"
LINK/USDT,LINK/USDT,1711986414000,2024-04-01T15:46:54.000Z,19.2774,17.9355,18.0169,,18.0237,,,,18.0237,18.0237,,,,,82815.88,,"{'buy': '18.0169', 'sell': '18.0237', 'low': '17.9355', 'high': '19.2774', 'last': '18.0237', 'vol': '82815.88', 'volume': '82815.88', 'funds': '1556106.709259'}"
DOT/BTC,DOT/BTC,1711986414000,2024-04-01T15:46:54.000Z,0.000138,0.00013102,0.00013179,,0.00013198,,,,0.00013188,0.00013188,,,,,60168.19,,"{'buy': '0.00013179', 'sell': '0.00013198', 'low': '0.00013102', 'high': '0.000138', 'last': '0.00013188', 'vol': '60168.19', 'volume': '60168.19', 'funds': '8.0553341831'}"
ARB/USDT,ARB/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.6635,1.5439,1.5526,,1.5683,,,,1.5613,1.5613,,,,,58518.3,,"{'buy': '1.5526', 'sell': '1.5683', 'low': '1.5439', 'high': '1.6635', 'last': '1.5613', 'vol': '58518.3', 'volume': '58518.3', 'funds': '94840.139312'}"
MATIC/USDT,MATIC/USDT,1711986414000,2024-04-01T15:46:54.000Z,1.007,0.9327,0.935,,0.9445,,,,0.9401,0.9401,,,,,56951.17,,"{'buy': '0.935', 'sell': '0.9445', 'low': '0.9327', 'high': '1.007', 'last': '0.9401', 'vol': '56951.17', 'volume': '56951.17', 'funds': '55773.619519'}"
