,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
BTT/KRW,BTT/KRW,1711986416179,2024-04-01T15:46:56.179Z,0.002345,0.002137,,,,,0.002256562706001708,0.002295,0.002156,0.002156,0.002295,-0.000139,-0.0605664488,0.0022255,17028843588777.686,38426653368.77202,"{'market': 'KRW-BTT', 'trade_date': '20240401', 'trade_time': '154656', 'trade_date_kst': '20240402', 'trade_time_kst': '004656', 'trade_timestamp': '1711986416179', 'opening_price': '0.00229500', 'high_price': '0.00234500', 'low_price': '0.00213700', 'trade_price': '0.00215600', 'prev_closing_price': '0.00229500', 'change': 'FALL', 'change_price': '0.00013900', 'change_rate': '0.0605664488', 'signed_change_price': '-0.00013900', 'signed_change_rate': '-0.0605664488', 'trade_volume': '471582390.62287038', 'acc_trade_price': '35079868267.7596822416238800', 'acc_trade_price_24h': '38426653368.77201792', 'acc_trade_volume': '15565581584317.78569232', 'acc_trade_volume_24h': '17028843588777.68466314', 'highest_52_week_price': '0.00309400', 'highest_52_week_date': '2024-03-05', 'lowest_52_week_price': '0.00050000', 'lowest_52_week_date': '2023-08-17', 'timestamp': '1711986416202'}"
SHIB/KRW,SHIB/KRW,1711986413530,2024-04-01T15:46:53.530Z,0.04353,0.04,,,,,0.0418268966917333,0.04353,0.04083,0.04083,0.04354,-0.00271,-0.0622416169,0.04218,3520421895350.4194,147248322928.1379,"{'market': 'KRW-SHIB', 'trade_date': '20240401', 'trade_time': '154653', 'trade_date_kst': '20240402', 'trade_time_kst': '004653', 'trade_timestamp': '1711986413530', 'opening_price': '0.04353000', 'high_price': '0.04353000', 'low_price': '0.04000000', 'trade_price': '0.04083000', 'prev_closing_price': '0.04354000', 'change': 'FALL', 'change_price': '0.00271000', 'change_rate': '0.0622416169', 'signed_change_price': '-0.00271000', 'signed_change_rate': '-0.0622416169', 'trade_volume': '244917.95248591', 'acc_trade_price': '127947160117.8898907326472000', 'acc_trade_price_24h': '147248322928.13791842', 'acc_trade_volume': '3075455715117.63445281', 'acc_trade_volume_24h': '3520421895350.41947885', 'highest_52_week_price': '0.06467000', 'highest_52_week_date': '2024-03-05', 'lowest_52_week_price': '0.00780000', 'lowest_52_week_date': '2023-06-10', 'timestamp': '1711986413546'}"
XEC/KRW,XEC/KRW,1711986414037,2024-04-01T15:46:54.037Z,0.1062,0.09456,,,,,0.10021865145774242,0.09596,0.09548,0.09548,0.09596,-0.00048,-0.0050020842,0.09572,2134323050746.086,213898977920.94748,"{'market': 'KRW-XEC', 'trade_date': '20240401', 'trade_time': '154654', 'trade_date_kst': '20240402', 'trade_time_kst': '004654', 'trade_timestamp': '1711986414037', 'opening_price': '0.09596000', 'high_price': '0.10620000', 'low_price': '0.09456000', 'trade_price': '0.09548000', 'prev_closing_price': '0.09596000', 'change': 'FALL', 'change_price': '0.00048000', 'change_rate': '0.0050020842', 'signed_change_price': '-0.00048000', 'signed_change_rate': '-0.0050020842', 'trade_volume': '3928292.20138203', 'acc_trade_price': '201124471790.3691687280357000', 'acc_trade_price_24h': '213898977920.94746845', 'acc_trade_volume': '2002005961306.55172409', 'acc_trade_volume_24h': '2134323050746.08586773', 'highest_52_week_price': '0.12400000', 'highest_52_week_date': '2024-03-05', 'lowest_52_week_price': '0.02510000', 'lowest_52_week_date': '2023-06-15', 'timestamp': '1711986414056'}"
ANKR/KRW,ANKR/KRW,1711986416794,2024-04-01T15:46:56.794Z,97.96,83.7,,,,,92.09941838151744,84.35,91.75,91.75,84.35,7.4,0.0877296977,88.05,3261947874.6035852,300423502041.8172,"{'market': 'KRW-ANKR', 'trade_date': '20240401', 'trade_time': '154656', 'trade_date_kst': '20240402', 'trade_time_kst': '004656', 'trade_timestamp': '1711986416794', 'opening_price': '84.35000000', 'high_price': '97.96000000', 'low_price': '83.70000000', 'trade_price': '91.75000000', 'prev_closing_price': '84.35000000', 'change': 'RISE', 'change_price': '7.40000000', 'change_rate': '0.0877296977', 'signed_change_price': '7.40000000', 'signed_change_rate': '0.0877296977', 'trade_volume': '217.98365122', 'acc_trade_price': '283638099005.6288171999000000', 'acc_trade_price_24h': '300423502041.81719032', 'acc_trade_volume': '3064281967.92747676', 'acc_trade_volume_24h': '3261947874.60358539', 'highest_52_week_price': '97.96000000', 'highest_52_week_date': '2024-04-01', 'lowest_52_week_price': '23.20000000', 'lowest_52_week_date': '2023-09-11', 'timestamp': '1711986416809'}"
T/KRW,T/KRW,1711986416234,2024-04-01T15:46:56.234Z,79.35,70.0,,,,,75.69038179606115,72.65,70.3,70.3,72.74,-2.44,-0.0335441298,71.475,2877119166.259419,217770248166.94055,"{'market': 'KRW-T', 'trade_date': '20240401', 'trade_time': '154656', 'trade_date_kst': '20240402', 'trade_time_kst': '004656', 'trade_timestamp': '1711986416234', 'opening_price': '72.65000000', 'high_price': '79.35000000', 'low_price': '70.00000000', 'trade_price': '70.30000000', 'prev_closing_price': '72.74000000', 'change': 'FALL', 'change_price': '2.44000000', 'change_rate': '0.0335441298', 'signed_change_price': '-2.44000000', 'signed_change_rate': '-0.0335441298', 'trade_volume': '13730.60551970', 'acc_trade_price': '203516839733.9093530598000000', 'acc_trade_price_24h': '217770248166.94055806', 'acc_trade_volume': '2680314098.43346367', 'acc_trade_volume_24h': '2877119166.25941890', 'highest_52_week_price': '94.00000000', 'highest_52_week_date': '2024-03-27', 'lowest_52_week_price': '21.60000000', 'lowest_52_week_date': '2023-06-15', 'timestamp': '1711986416245'}"
MBL/KRW,MBL/KRW,1711986378816,2024-04-01T15:46:18.816Z,9.307,8.64,,,,,8.996300498511618,9.303,8.723,8.723,9.303,-0.58,-0.06234548,9.013,1517310192.332154,13650178439.674515,"{'market': 'KRW-MBL', 'trade_date': '20240401', 'trade_time': '154618', 'trade_date_kst': '20240402', 'trade_time_kst': '004618', 'trade_timestamp': '1711986378816', 'opening_price': '9.30300000', 'high_price': '9.30700000', 'low_price': '8.64000000', 'trade_price': '8.72300000', 'prev_closing_price': '9.30300000', 'change': 'FALL', 'change_price': '0.58000000', 'change_rate': '0.0623454800', 'signed_change_price': '-0.58000000', 'signed_change_rate': '-0.0623454800', 'trade_volume': '96180.55047461', 'acc_trade_price': '11211030975.1417849939300000', 'acc_trade_price_24h': '13650178439.67451539', 'acc_trade_volume': '1253220056.88565954', 'acc_trade_volume_24h': '1517310192.33215405', 'highest_52_week_price': '9.99900000', 'highest_52_week_date': '2024-03-10', 'lowest_52_week_price': '3.00000000', 'lowest_52_week_date': '2023-06-15', 'timestamp': '1711986390406'}"
SC/KRW,SC/KRW,1711986404695,2024-04-01T15:46:44.695Z,14.55,13.7,,,,,14.084523177757156,14.54,13.8,13.8,14.54,-0.74,-0.0508940853,14.17,1423304833.2981768,20046569913.601955,"{'market': 'KRW-SC', 'trade_date': '20240401', 'trade_time': '154644', 'trade_date_kst': '20240402', 'trade_time_kst': '004644', 'trade_timestamp': '1711986404695', 'opening_price': '14.54000000', 'high_price': '14.55000000', 'low_price': '13.70000000', 'trade_price': '13.80000000', 'prev_closing_price': '14.54000000', 'change': 'FALL', 'change_price': '0.74000000', 'change_rate': '0.0508940853', 'signed_change_price': '-0.74000000', 'signed_change_rate': '-0.0508940853', 'trade_volume': '7246.37681159', 'acc_trade_price': '18120536356.9302476766000000', 'acc_trade_price_24h': '20046569913.60195552', 'acc_trade_volume': '1290238148.12200775', 'acc_trade_volume_24h': '1423304833.29817673', 'highest_52_week_price': '32.24000000', 'highest_52_week_date': '2024-02-24', 'lowest_52_week_price': '3.32000000', 'lowest_52_week_date': '2023-06-15', 'timestamp': '1711986404720'}"
DOGE/KRW,DOGE/KRW,1711986415178,2024-04-01T15:46:55.178Z,311.6,288.2,,,,,299.7569185440768,311.5,289.6,289.6,311.5,-21.9,-0.0703049759,300.55,1332922770.0599413,399552822210.4031,"{'market': 'KRW-DOGE', 'trade_date': '20240401', 'trade_time': '154655', 'trade_date_kst': '20240402', 'trade_time_kst': '004655', 'trade_timestamp': '1711986415178', 'opening_price': '311.50000000', 'high_price': '311.60000000', 'low_price': '288.20000000', 'trade_price': '289.60000000', 'prev_closing_price': '311.50000000', 'change': 'FALL', 'change_price': '21.90000000', 'change_rate': '0.0703049759', 'signed_change_price': '-21.90000000', 'signed_change_rate': '-0.0703049759', 'trade_volume': '20.71823204', 'acc_trade_price': '318908782043.0585115480000000', 'acc_trade_price_24h': '399552822210.40305073', 'acc_trade_volume': '1071615512.39671307', 'acc_trade_volume_24h': '1332922770.05994130', 'highest_52_week_price': '324.00000000', 'highest_52_week_date': '2024-03-28', 'lowest_52_week_price': '77.00000000', 'lowest_52_week_date': '2023-06-14', 'timestamp': '1711986415209'}"
MVL/KRW,MVL/KRW,1711986388763,2024-04-01T15:46:28.763Z,10.87,9.91,,,,,10.35209321663002,10.86,9.997,9.997,10.87,-0.873,-0.0803127875,10.4285,1151545601.5533624,11920907410.480698,"{'market': 'KRW-MVL', 'trade_date': '20240401', 'trade_time': '154628', 'trade_date_kst': '20240402', 'trade_time_kst': '004628', 'trade_timestamp': '1711986388763', 'opening_price': '10.86000000', 'high_price': '10.87000000', 'low_price': '9.91000000', 'trade_price': '9.99700000', 'prev_closing_price': '10.87000000', 'change': 'FALL', 'change_price': '0.87300000', 'change_rate': '0.0803127875', 'signed_change_price': '-0.87300000', 'signed_change_rate': '-0.0803127875', 'trade_volume': '225545.24038942', 'acc_trade_price': '10590376515.2171811622200000', 'acc_trade_price_24h': '11920907410.48069712', 'acc_trade_volume': '1027962049.97263808', 'acc_trade_volume_24h': '1151545601.55336226', 'highest_52_week_price': '12.25000000', 'highest_52_week_date': '2024-03-26', 'lowest_52_week_price': '3.31000000', 'lowest_52_week_date': '2023-06-14', 'timestamp': '1711986390576'}"
IQ/KRW,IQ/KRW,1711986415498,2024-04-01T15:46:55.498Z,20.47,18.6,,,,,19.622807469241184,20.47,18.81,18.81,20.46,-1.65,-0.0806451613,19.64,865344110.7748879,16980480880.37734,"{'market': 'KRW-IQ', 'trade_date': '20240401', 'trade_time': '154655', 'trade_date_kst': '20240402', 'trade_time_kst': '004655', 'trade_timestamp': '1711986415498', 'opening_price': '20.47000000', 'high_price': '20.47000000', 'low_price': '18.60000000', 'trade_price': '18.81000000', 'prev_closing_price': '20.46000000', 'change': 'FALL', 'change_price': '1.65000000', 'change_rate': '0.0806451613', 'signed_change_price': '-1.65000000', 'signed_change_rate': '-0.0806451613', 'trade_volume': '13610.69994844', 'acc_trade_price': '15394158499.0774569767000000', 'acc_trade_price_24h': '16980480880.37734099', 'acc_trade_volume': '787497883.63682668', 'acc_trade_volume_24h': '865344110.77488795', 'highest_52_week_price': '27.77000000', 'highest_52_week_date': '2024-03-10', 'lowest_52_week_price': '5.02000000', 'lowest_52_week_date': '2023-06-10', 'timestamp': '1711986415516'}"
