,symbol
0,DASH/ETH
1,WIN/USDT
2,SOL/USDT:USDT
3,ONT/USDC
4,ETH/USDC
5,TEL/BTC
6,USDT/USDP
7,WAVES/BTC
8,XYM/USDT
9,BNB/BTC
10,ZEN/USDT
11,XYO/BTC
12,ARRR/BTC
13,BTT/USDT
14,DCR/BTC
15,VLX/USDT
16,1INCH/USDT
17,SENT/USDT
18,DATA/USDT
19,FIRO/BCH
20,DUSK/USDT
21,TLM/USDT
22,ADA/BTC
23,STETH/ETH
24,SATT/BTC
25,SAND/USDT
26,NEO/USDT
27,DOT/USDT:USDT
28,STRONG/USDT
29,GTC/USDT
30,AVAX/USDT
31,XCUR/USDT
32,ICX/BTC
33,ALPACA/USDT
34,BTC/USDP
35,XYM/BTC
36,CVC/USDC
37,WAVES/USDT
38,MATIC/BCH
39,XEC/USDT
40,QTUM/BTC
41,XRP/USDT:USDT
42,WOZX/USDT
43,SUPER/BTC
44,STC/ETH
45,FTM/USDT:USDT
46,XEM/USDC
47,ATOM/USDT
48,NEAR/BTC
49,HBAR/BTC
50,MATIC/USDT:USDT
51,YGG/BTC
52,XNO/ETH
53,GLEEC/USDT
54,BADGER/BTC
55,BIRD/BTC
56,SOL/ETH
57,CHZ/USDT
58,LTO/USDT
59,AVA/ETH
60,USDD/USDT
61,SHIB/USDT
62,ATOM/BTC
63,CPRX/ETH
64,SNX/ETH
65,GALA/BTC
66,RELAY/USDT
67,DATA/BTC
68,OP/BTC
69,BAT/ETH
70,SNX/USDC
71,BAT/BTC
72,ENS/USDT
73,INJ/USDT
74,WLITI/BTC
75,GRT/USDT
76,DGB/BTC
77,AKRO/USDT
78,LUNA/USDT:USDT
79,MATIC/USDT
80,QTUM/USDT
81,Cube/BTC
82,ALGO/USDC
83,EQX/USDT
84,C98/USDT
85,YFII/BTC
86,GLM/ETH
87,WIN/BTC
88,CSOV/USDT
89,GR/USDT
90,KLAY/USDC
91,RPZX/BTC
92,EQX/BTC
93,XEC/BTC
94,1INCH/BTC
95,INJ/BTC
96,XBN/USDT
97,ETHW/USDT
98,CTSI/USDT
99,SOL/BTC
100,BCH/BTC
101,YFI/BTC
102,LSK/BTC
103,IOTX/BTC
104,HOT/BTC
105,FRONT/BTC
106,FIL/USDC
107,LUNA/USDT
108,WOZX/ETH
109,HEDG/BCH
110,LUNA/USDC
111,CVC/BTC
112,UNI/USDC
113,ALICE/BTC
114,HBAR/USDC
115,DASH/BTC
116,YGG/USDT
117,REEF/BTC
118,CELO/USDT
119,LTC/ETH
120,STORJ/USDT
121,AAVE/USDC
122,CKB/USDT
123,XNO/USDT
124,ETH/EURST
125,EGLD/USDC
126,SAND/USDC
127,XRP/BTC
128,RAD/USDT
129,SFP/BTC
130,FRONT/ETH
131,USDD/USDC
132,MITH/ETH
133,FIRO/BTC
134,TRX/ETH
135,AGIX/BTC
136,DOGE/ETH
137,EVER/BTC
138,DYDX/USDC
139,CVX/USDT
140,OP/USDT
141,DENT/USDT
142,ETH/USDT:USDT
143,DAR/BTC
144,MKR/BTC
145,RUNE/USDT
146,ZEC/BTC
147,XTZ/ETH
148,INSUR/BTC
149,CHR/USDT
150,SUPER/USDT
151,UNI/BTC
152,CCE/USDT
153,STPT/BTC
154,DYDX/BTC
155,XTZ/USDC
156,TRX/BTC
157,AAVE/ETH
158,IDEX/BTC
159,RSR/BCH
160,HEDG/USDT
161,SUSHI/BTC
162,CEL/USDT:USDT
163,GRT/USDC
164,COMP/USDT
165,LUNC/ETH
166,QTUM/USDC
167,OCEAN/USDT
168,MKR/USDT
169,EOS/USDT:USDT
170,IQQ/ETH
171,ATOM/USDT:USDT
172,WBTC/USDC
173,AVA/USDT
174,LSK/USDC
175,BOSON/USDT
176,REP/ETH
177,T/USDT
178,GMT Token/USDC
179,ENS/BTC
180,GRT/BTC
181,XDC/USDT
182,ALGO/USDT
183,COMP/BTC
184,GR/GRB
185,SNT/ETH
186,HBAR/USDT
187,ALPACA/BTC
188,DGB/USDT
189,EUNO/BTC
190,ETH/USDT
191,RNDR/BTC
192,RELAY/ETH
193,MITH/BTC
194,FORTH/USDT
195,TUSD/USDC
196,JAM/USDT
197,MDX/BTC
198,LINA/USDT
199,XLM/USDT:USDT
200,INSUR/USDT
201,SUSHI/USDC
202,FRIN/USDT
203,CSOV/BTC
204,CERE/USDT
205,ZIL/BTC
206,SOL/USDC
207,XNO/USDC
208,MIR/USDT
209,MANA/USDC
210,XDC/USDC
211,GMT Token/BTC
212,CTSI/BTC
213,PSL/ETH
214,UTK/BTC
215,SHIB/BTC
216,POND/USDT
217,TEL/ETH
218,UNI/USDT
219,GALA/USDT
220,IMX/USDC
221,QNT/USDT
222,USDT/EOSDT
223,AUDIO/USDC
224,NEO/USDC
225,C98/BTC
226,CCE/BTC
227,LUNC/USDC
228,ETC/BTC
229,EOS/BTC
230,SNT/BTC
231,DGB/ETH
232,MATIC/BTC
233,KAMPAY/BTC
234,FLOKI/USDT
235,XRP/ETH
236,IOST/USDT
237,ZEC/ETH
238,EOS/ETH
239,CVC/USDT
240,XVS/USDT
241,CTSI/USDC
242,KNC/ETH
243,LVN/USDT
244,ZIL/USDT
245,CRO/BTC
246,THETA/BTC
247,WAVES/USDC
248,ZEC/USDT:USDT
249,NUT/USDT
250,ONT/BTC
251,BTC/USDT:USDT
252,ETC/ETH
253,BTC/USDD
254,MAHA/BTC
255,NEAR/USDT
256,AAVE/BTC
257,SNX/USDT
258,APE/ETH
259,DOGE/USDT
260,ERG/BTC
261,SUPERBID/USDT
262,DENT/BTC
263,FLOKI/ETH
264,UNI/ETH
265,ILV/USDT
266,OMG/ETH
267,BNT/ETH
268,AVAX/USDT:USDT
269,NEAR/ETH
270,ALGO/BTC
271,SNT/USDT
272,APE/USDT:USDT
273,BCH/TUSD
274,HT/USDT
275,DGB/USDC
276,CHR/USDC
277,EOS/USDT
278,BIRD/USDT
279,ARRR/BCH
280,OXT/USDT
281,GLM/USDT
282,CAKE/USDC
283,MIR/BTC
284,BTCV/BTC
285,LUNC/USDT
286,REVV/USDT
287,CKB/BTC
288,TFUEL/USDT
289,DOGE/USDC
290,NEO/BTC
291,HEDG/BTC
292,LTC/BTC
293,SLP/BTC
294,KSM/BTC
295,BNB/USDC
296,APE/USDT
297,OMG/USDT
298,FIRO/ETH
299,CHZ/USDC
300,BTC/EOSDT
301,WAVES/ETH
302,VLX/BTC
303,SFP/USDT
304,CVX/USDC
305,DFC/BTC
306,ALPHA/BTC
307,ANKR/USDC
308,BTT/USDC
309,TFC/BTC
310,OOKI/USDT
311,CELO/BTC
312,XRP/USDT
313,GLEEC/BTC
314,RNDR/USDT
315,BCH/EOSDT
316,XDC/ETH
317,ZEN/ETH
318,ZRX/USDC
319,STC/USDT
320,XEM/BTC
321,KMD/USDT
322,TRX/USDD
323,AAVE/USDT
324,REN/USDT
325,ATOM/USDC
326,MANA/USDT
327,XRD/USDT
328,EGLD/USDT
329,ADA/USDC
330,BICO/USDT
331,WIN/USDC
332,SC/BTC
333,ETC/USDC
334,STC/BTC
335,POLS/USDT
336,CRU/BTC
337,AGLD/USDT
338,JULD/BTC
339,CPRX/USDT
