,symbol
0,APE/USDT
1,CRV/USDT
2,TIA/USDT
3,XTZ/USDT
4,SEI/USDT
5,FLR/USDT
6,AXS/USDT
7,GOMINING/USDT
8,EOS/USDT
9,GALA/USDT
10,TRX/USDT
11,GMMT/USDT
12,SUI/USDT
13,LUNA/USDT
14,GOC/USDT
15,VET/USDT
16,VET/BTC
17,KSM/USDT
18,DOGE/USDT
19,CHZ/USDT
20,CELO/USDT
21,ETHW/USDT
22,PEPE/USDT
23,OGN/USDT
24,HMT/USDT
25,FLOKI/USDT
26,APT/USDT
27,XLM/USDT
28,SUSHI/USDT
29,XRP/USDT
30,DOT/USDT
31,ADA/USDT
32,INJ/USDT
33,WILD/USDT
34,GRT/USDT
35,COMP/USDT
36,MEME/USDT
37,FIL/USDT
38,SWEAT/USDT
39,KAVA/USDT
40,OMG/BTC
41,THETA/USDT
42,TUSD/USDT
43,1INCH/USDT
44,SAND/USDT
45,WAVES/USDT
46,ARB/USDT
47,LTC/USDT
48,ZETA/USDT
49,OCEAN/USDT
50,FTM/USDT
51,MATIC/BTC
52,DYM/USDT
53,AAVE/USDT
54,BLUR/USDT
55,NEXO/USDT
56,TRX/BTC
57,WOO/USDT
58,YFI/USDT
59,TRX/ETH
60,BONK/USDT
61,QRDO/USDT
62,SNX/USDT
63,UNI/USDT
64,ETC/USDT
65,WIF/USDT
66,XLM/BTC
67,XDC/USDT
68,SPELL/USDT
69,LINK/USDT
70,JASMY/USDT
71,ATOM/BTC
72,ETH/BTC
73,STRK/USDT
74,NEO/USDT
75,JST/USDT
76,FET/USDT
77,ATOM/USDT
78,LTC/BTC
79,TON/USDT
80,ICP/USDT
81,BAL/USDT
82,TOMI/USDT
83,SHIB/USDT
84,VRA/USDT
85,ALGO/USDT
86,USDC/USDT
87,LDO/USDT
88,STG/USDT
89,MATIC/USDT
90,SOL/USDT
91,BTC/USDT
92,NEAR/USDT
93,ETH/USDT
94,BAND/USDT
95,JUP/USDT
96,AVAX/USDT
