,symbol
0,DASH/BTC
1,ALGO/USD
2,DASH/USD
3,DYM/USD
4,MANA/USD
5,TIA/USD
6,BTC/USD
7,SNX/USD
8,TRX/ETH
9,GNO/USD
10,NEAR/USD
11,SOL/USD
12,KAVA/USD
13,ETC/USD
14,BTC/JPY
15,SHIB/USD
16,MATIC/BTC
17,USDC/USDT
18,ZEC/BTC
19,OMG/USD
20,ETH/BTC
21,ICP/USD
22,SUI/USD
23,XMR/BTC
24,ETC/BTC
25,BTC/GBP
26,STRK/USD
27,BLUR/USD
28,ALGO/BTC
29,XTZ/USD
30,WOO/USD
31,CRV/USD
32,KNC/USD
33,EGLD/USD
34,WAVES/USD
35,ETH/USD
36,XTZ/USDT
37,ETHW/USD
38,FLR/USD
39,APE/USD
40,AVAX/USDT
41,LINK/USD
42,OGN/USD
43,ADA/BTC
44,YFI/USD
45,ETH/USDT
46,EOS/ETH
47,XMR/USD
48,OMG/BTC
49,BONK/USD
50,EOS/USDT
51,LRC/USD
52,AAVE/USD
53,LTC/USDT
54,OCEAN/USD
55,BTC/EUR
56,BAT/USD
57,FORTH/USD
58,MKR/USD
59,DOT/USDT
60,USDC/USD
61,COMP/USD
62,XRP/BTC
63,INJ/USD
64,LUNA/USD
65,ARB/USD
66,AXS/USD
67,TRX/BTC
68,TUSD/USD
69,BTT/USD
70,LDO/USD
71,BAL/USD
72,GRT/USD
73,DAI/USD
74,XMR/USDT
75,LINK/USDT
76,MLN/USD
77,XLM/BTC
78,BTC/USDT
79,OMG/ETH
80,1INCH/USD
81,LTC/BTC
82,APT/USD
83,FET/USD
84,EURT/USDT
85,MATIC/USD
86,SHIB/USDT
87,CHZ/USD
88,XRP/USDT
89,ETH/EUR
90,ETH/JPY
91,XRP/USD
92,TRX/USD
93,USDT/USD
94,TRX/EUR
95,EOS/BTC
96,UNI/USD
97,ZEC/USD
98,EURT/EUR
99,FIL/USD
100,ATOM/BTC
101,SOL/BTC
102,DOT/USD
103,REQ/USD
104,XLM/USD
105,XTZ/BTC
106,ATOM/USD
107,GALA/USD
108,ADA/USDT
109,DOGE/USDT
110,APE/USDT
111,BOBA/USD
112,FTM/USD
113,MATIC/USDT
114,EURT/USD
115,LTC/USD
116,SPELL/USD
117,AVAX/USD
118,ALGO/USDT
119,SGB/USD
120,PEPE/USD
121,ETH/GBP
122,DOGE/BTC
123,WIF/USD
124,ATOM/USDT
125,DOGE/USD
126,STG/USD
127,BCH/USD
128,JASMY/USD
129,SOL/USDT
130,SEI/USD
131,JUP/USD
132,MANA/BTC
133,QTUM/USD
134,SUSHI/USD
135,KSM/USD
136,SAND/USD
137,BAND/USD
138,ADA/USD
139,EOS/USD
140,ZRX/USD
141,DOT/BTC
