,symbol
0,APE/USDT
1,CRV/USDT
2,TIA/USDT
3,XTZ/USDT
4,SEI/USDT
5,FLR/USDT
6,AXS/USDT
7,GOMINING/USDT
8,EOS/USDT
9,GALA/USDT
10,TRX/USDT
11,GMMT/USDT
12,SUI/USDT
13,LUNA/USDT
14,VET/USDT
15,KSM/USDT
16,DOGE/USDT
17,CHZ/USDT
18,CELO/USDT
19,ETHW/USDT
20,PEPE/USDT
21,OGN/USDT
22,HMT/USDT
23,FLOKI/USDT
24,APT/USDT
25,XLM/USDT
26,SUSHI/USDT
27,XRP/USDT
28,DOT/USDT
29,ADA/USDT
30,INJ/USDT
31,WILD/USDT
32,GRT/USDT
33,COMP/USDT
34,MEME/USDT
35,FIL/USDT
36,SWEAT/USDT
37,KAVA/USDT
38,OMG/BTC
39,THETA/USDT
40,TUSD/USDT
41,1INCH/USDT
42,SAND/USDT
43,WAVES/USDT
44,ARB/USDT
45,LTC/USDT
46,ZETA/USDT
47,OCEAN/USDT
48,FTM/USDT
49,DYM/USDT
50,AAVE/USDT
51,BLUR/USDT
52,NEXO/USDT
53,WOO/USDT
54,YFI/USDT
55,TRX/ETH
56,BONK/USDT
57,QRDO/USDT
58,SNX/USDT
59,UNI/USDT
60,ETC/USDT
61,WIF/USDT
62,XLM/BTC
63,XDC/USDT
64,SPELL/USDT
65,LINK/USDT
66,JASMY/USDT
67,ATOM/BTC
68,ETH/BTC
69,STRK/USDT
70,NEO/USDT
71,JST/USDT
72,FET/USDT
73,ATOM/USDT
74,LTC/BTC
75,TON/USDT
76,ICP/USDT
77,BAL/USDT
78,TOMI/USDT
79,SHIB/USDT
80,VRA/USDT
81,ALGO/USDT
82,USDC/USDT
83,LDO/USDT
84,STG/USDT
85,MATIC/USDT
86,SOL/USDT
87,BTC/USDT
88,NEAR/USDT
89,ETH/USDT
90,BAND/USDT
91,JUP/USDT
92,AVAX/USDT
