,symbol
0,DASH/BTC
1,BLUR/USDT
2,WILD/USDT
3,FET/USDT
4,VRA/USDT
5,SUN/USDT
6,KAVA/USDT
7,FTM/USDT
8,TRX/ETH
9,TIA/USDT
10,CELO/USDT
11,FLOKI/USDT
12,EGLD/USDT
13,UNI/USDT
14,OCEAN/USDT
15,SWEAT/USDT
16,APT/USDT
17,DYM/USDT
18,CRV/USDT
19,USDC/USDT
20,CHZ/USDT
21,ZEC/BTC
22,ETH/BTC
23,BAL/USDT
24,XMR/BTC
25,APP/USDT
26,ETC/BTC
27,WOO/USDT
28,NEO/BTC
29,COMP/USDT
30,BONK/USDT
31,STG/USDT
32,GMMT/USDT
33,ETC/USDT
34,XTZ/USDT
35,MEME/USDT
36,AMPL/USDT
37,AAVE/USDT
38,LUNA/USDT
39,AVAX/USDT
40,TUSD/USDT
41,ADA/BTC
42,IOTA/BTC
43,SUSHI/USDT
44,ETH/USDT
45,EOS/ETH
46,SGB/USDT
47,OMG/BTC
48,1INCH/USDT
49,FLR/USDT
50,EOS/USDT
51,YFI/USDT
52,ARB/USDT
53,LTC/USDT
54,SUKU/USDT
55,XLM/USDT
56,BTC/TRY
57,XRP/BTC
58,DOT/USDT
59,STRK/USDT
60,JUP/USDT
61,AXS/USDT
62,THETA/USDT
63,XDC/USDT
64,JASMY/USDT
65,NEXO/USDT
66,OGN/USDT
67,SUI/USDT
68,XMR/USDT
69,LINK/USDT
70,LDO/USDT
71,NEO/USDT
72,XLM/BTC
73,BTC/USDT
74,NEAR/USDT
75,FIL/USDT
76,OMG/ETH
77,TOMI/USDT
78,LTC/BTC
79,EURT/USDT
80,NOM/USDT
81,ICP/USDT
82,LEO/USDT
83,GRT/USDT
84,SHIB/USDT
85,VET/USDT
86,JST/USDT
87,XRP/USDT
88,HTX/USDT
89,TON/USDT
90,KSM/USDT
91,TRX/USDT
92,ZETA/USDT
93,USDT/USD
94,EOS/BTC
95,GALA/USDT
96,WAVES/USDT
97,ATOM/BTC
98,KARATE/USDT
99,MKR/USDT
100,SNX/USDT
101,WIF/USDT
102,XTZ/BTC
103,HMT/USDT
104,BOSON/USDT
105,GOMINING/USDT
106,ADA/USDT
107,DOGE/USDT
108,APE/USDT
109,FORTH/USDT
110,RLY/USDT
111,MATIC/USDT
112,INJ/USDT
113,LEO/BTC
114,ALGO/USDT
115,SPELL/USDT
116,SEI/USDT
117,BAND/USDT
118,DOGE/BTC
119,SAND/USDT
120,ATOM/USDT
121,PEPE/USDT
122,SOL/USDT
123,QRDO/USDT
124,TRADE/USDT
125,ETHW/USDT
126,XAUT/USDT
127,DOT/BTC
