,symbol
0,LTC/USDT
1,EURT/USDT
2,KNC/ETH
3,APE/USDT
4,ATOM/BTC
5,ETH/BTC
6,MANA/ETH
7,QTUM/ETH
8,UNI/ETH
9,XTZ/BTC
10,XTZ/USDT
11,BTC/USDC
12,ATOM/USDT
13,ICX/ETH
14,LSK/BTC
15,CRV/ETH
16,LTC/BTC
17,OMG/ETH
18,ZRX/BTC
19,XRP/USDT
20,ADA/BTC
21,EOS/ETH
22,BCH/BTC
23,ETC/ETH
24,XMR/BTC
25,AVAX/USDT
26,XMR/USDT
27,DOT/USDT
28,SHIB/USDT
29,WBTC/BTC
30,ALGO/USDT
31,QTUM/BTC
32,ADA/USDT
33,SC/ETH
34,USDT/USD
35,DOGE/BTC
36,BAT/ETH
37,EOS/USDT
38,USDC/USDT
39,WAVES/BTC
40,LINK/USDT
41,DOT/BTC
42,MANA/USDT
43,ZEC/BTC
44,NANO/BTC
45,MLN/ETH
46,TRX/ETH
47,XTZ/ETH
48,ETC/BTC
49,FIL/BTC
50,CRV/BTC
51,MINA/BTC
52,ETHW/ETH
53,MATIC/USDT
54,SOL/USDT
55,OMG/BTC
56,USTC/USDT
57,STORJ/BTC
58,DAI/USDT
59,BTC/USDT
60,FIL/ETH
61,DASH/BTC
62,REP/ETH
63,XLM/BTC
64,BCH/USDT
65,EOS/BTC
66,XRP/BTC
67,DOGE/USDT
68,ETH/USDT
69,ETH/USDC
70,AAVE/ETH
71,FLOW/ETH
72,LINK/ETH
73,BAT/BTC
