,symbol
0,SOL/USDT:USDT
1,ONT/USDC
2,ETH/USDC
3,USDT/USDP
4,WAVES/BTC
5,EDU/USDT
6,WMT/USDT
7,1INCH/USDT
8,ETN/USDT
9,CVP/BTC
10,MTLX/BTC
11,ERT/BTC
12,ARB/USDC
13,USG/ETH
14,TLM/USDT
15,STETH/ETH
16,SATT/BTC
17,GTC/USDT
18,LRC/ETH
19,SWM/ETH
20,XYM/BTC
21,TWT/BTC
22,AEUR/USDT
23,BOSON/BTC
24,XRP/USDT:USDT
25,BTCST/USDT
26,MITX/BTC
27,BNK/BTC
28,ETHBNT/BTC
29,SMART/ETH
30,WNXM/USDT
31,FTM/USDT:USDT
32,NEAR/BTC
33,SWFTC/ETH
34,YGG/BTC
35,MLN/ETH
36,POLIS/USDT
37,CHZ/USDT
38,AMP/USDT
39,AI/USDT
40,ATOM/BTC
41,TONCOIN/BTC
42,IOTA/BTC
43,PlayChip/ETH
44,BIST/USDT
45,TRAC/ETH
46,BAT/BTC
47,HBAR/ETH
48,PHB/USDT
49,DGB/BTC
50,AST/USDT
51,NEO/ETH
52,Cube/BTC
53,ALGO/USDC
54,YFII/BTC
55,BTCLIQ/USDT
56,SILK/USDT
57,BRG/USDT
58,OM/USDT
59,RSR/BTC
60,GR/USDT
61,1INCH/BTC
62,INJ/BTC
63,LOAN/BTC
64,VGX/BTC
65,CTSI/USDT
66,SALT/BTC
67,SOL/BTC
68,BCH/BTC
69,XCN/BTC
70,IOTX/BTC
71,USG/USDT
72,BFIC/USDT
73,FRONT/BTC
74,LUNA/USDT
75,SNC/USDT
76,LUNA/USDC
77,FLR/USDT
78,CVC/BTC
79,UNI/USDC
80,NIM/BTC
81,HBAR/USDC
82,DASH/BTC
83,Penta/BTC
84,STORJ/USDT
85,ETH/EURST
86,SUI/USDT
87,XRP/BTC
88,STND/USDT
89,FLUX/USDC
90,GAS/BTC
91,TRV/BTC
92,USDD/USDC
93,TT/USDT
94,NCT/ETH
95,MITH/ETH
96,CRPT/BTC
97,TRX/ETH
98,STOX/USDT
99,SNGLS/BTC
100,DOGE/ETH
101,DYDX/USDC
102,SUN/BTC
103,CVX/USDT
104,TRUE/BTC
105,PEOPLE/USDT
106,DENT/USDT
107,CRDT/BTC
108,DGTX/ETH
109,HOOK/USDT
110,UNI/BTC
111,DYDX/BTC
112,TONCOIN/USDT
113,GMT Token/ETH
114,SWT/ETH
115,CHAT/ETH
116,SWFTC/BTC
117,MYRIA/USDT
118,HIT/USDT:USDT
119,LAZIO/BTC
120,GST/USDT
121,TRAC/BTC
122,CUTE/BTC
123,UOS/USDC
124,SNT/ETH
125,ALPACA/BTC
126,EUNO/BTC
127,BRD/ETH
128,ANC/USDT
129,CSOV/BTC
130,OAX/USDT
131,FET/USDT
132,XNO/USDC
133,NKN/USDT
134,VRA/BTC
135,AXL/USDT
136,GOF/BTC
