,symbol
0,QTUM/EUR
1,CELR/EUR
2,LPT/EUR
3,MKR/EUR
4,XTZ/EUR
5,ATOM/EUR
6,GLMR/EUR
7,CVC/EUR
8,FORTH/EUR
9,ZRX/BTC
10,XRP/EUR
11,EGLD/EUR
12,SAND/EUR
13,ANT/BTC
14,JTO/EUR
15,POWR/EUR
16,ARPA/EUR
17,WAVES/BTC
18,APT/EUR
19,USDC/EUR
20,ARB/EUR
21,SHIB/EUR
22,PHA/EUR
23,AXS/EUR
24,ENS/EUR
25,BAL/EUR
26,DYM/EUR
27,NANO/EUR
28,SNX/EUR
29,COTI/EUR
30,IMX/EUR
31,XRP/BTC
32,GRT/EUR
33,POND/EUR
34,DOT/EUR
35,ANKR/EUR
36,AVAX/EUR
37,LINK/BTC
38,KNC/EUR
39,LUNA/EUR
40,USDT/EUR
41,BLUR/EUR
42,DYDX/EUR
43,EOS/EUR
44,ICP/EUR
45,CHZ/EUR
46,XLM/EUR
47,BTT/EUR
48,SRM/EUR
49,RLC/EUR
50,ADA/EUR
51,BCH/BTC
52,UMA/EUR
53,ACH/EUR
54,NMR/EUR
55,1INCH/EUR
56,ALPHA/EUR
57,ICX/BTC
58,STRK/EUR
59,STX/EUR
60,BLZ/EUR
61,SUI/EUR
62,MOVR/EUR
63,GMX/EUR
64,ENJ/EUR
65,LTC/EUR
66,ETC/BTC
67,KEEP/EUR
68,QNT/EUR
69,RAY/EUR
70,FLOW/EUR
71,OMG/BTC
72,INJ/EUR
73,MANA/EUR
74,CVX/EUR
75,EOS/BTC
76,GNO/EUR
77,MATIC/EUR
78,KSM/EUR
79,COMP/EUR
80,ENJ/BTC
81,FET/EUR
82,BOND/EUR
83,JASMY/EUR
84,BAT/BTC
85,ZRX/EUR
86,AAVE/EUR
87,DAI/EUR
88,XTZ/BTC
89,YFI/EUR
90,T/EUR
91,MLN/EUR
92,LSK/BTC
93,OCEAN/EUR
94,ASTR/EUR
95,ADX/EUR
96,PERP/EUR
97,AGLD/EUR
98,QTUM/BTC
99,OP/EUR
100,REQ/EUR
101,CHR/EUR
102,TRX/BTC
103,ALGO/EUR
104,WAVES/EUR
105,MIR/EUR
106,WOO/EUR
107,NANO/BTC
108,SEI/EUR
109,LRC/EUR
110,APE/EUR
111,LSK/EUR
112,CTSI/EUR
113,DOGE/EUR
114,TIA/EUR
115,JUP/EUR
116,AUDIO/EUR
117,XLM/BTC
118,FTM/EUR
119,RAD/EUR
120,ETH/EUR
121,OGN/EUR
122,BAT/EUR
123,CRV/EUR
124,RPL/EUR
125,SOL/EUR
126,YGG/EUR
127,ALICE/EUR
128,ETH/BTC
129,OXT/EUR
130,SUSHI/EUR
131,GMT/EUR
132,BAND/EUR
133,SUPER/EUR
134,GALA/EUR
135,LTC/BTC
136,FIL/EUR
137,ICX/EUR
138,LDO/EUR
139,NEAR/EUR
140,ADA/BTC
141,PYTH/EUR
142,FXS/EUR
143,MASK/EUR
144,UNI/EUR
145,PEPE/EUR
146,OMG/EUR
147,API3/EUR
148,BCH/EUR
149,LINK/EUR
150,RUNE/EUR
151,GHST/EUR
152,KAVA/EUR
153,REN/EUR
154,MINA/EUR
155,RNDR/EUR
156,ETC/EUR
157,DENT/EUR
158,TRX/EUR
159,REP/EUR
160,BTC/EUR
161,STORJ/EUR
162,BNT/EUR
163,BONK/EUR
