,symbol
0,MASK/KRW
1,WAVES/BTC
2,ELF/KRW
3,HBD/BTC
4,AHT/KRW
5,ADA/BTC
6,ARK/BTC
7,CYBER/BTC
8,STMX/KRW
9,STX/BTC
10,HIFI/BTC
11,MINA/BTC
12,MASK/BTC
13,SPURS/BTC
14,QTUM/BTC
15,ICX/KRW
16,POLYX/KRW
17,FLOW/KRW
18,MTL/BTC
19,XEM/KRW
20,CHR/BTC
21,STEEM/KRW
22,AXS/KRW
23,DAI/BTC
24,NEAR/BTC
25,APT/BTC
26,YGG/BTC
27,MNT/BTC
28,FCT2/KRW
29,SXP/KRW
30,GRS/KRW
31,QTUM/KRW
32,RVN/USDT
33,ATOM/BTC
34,ALT/BTC
35,MNT/USDT
36,TFUEL/KRW
37,AQT/KRW
38,JUV/BTC
39,CTC/KRW
40,BAT/BTC
41,BAT/KRW
42,DGB/BTC
43,STX/KRW
44,ZIL/KRW
45,MOC/KRW
46,RSR/BTC
47,SOL/KRW
48,FX/BTC
49,1INCH/BTC
50,LINK/KRW
51,SXP/BTC
52,XLM/KRW
53,INJ/BTC
54,LSK/BTC
55,FOR/BTC
56,SOL/BTC
57,BCH/BTC
58,IOTX/BTC
59,ANKR/KRW
60,DKA/BTC
61,CVC/BTC
62,POWR/BTC
63,HIFI/KRW
64,CELO/KRW
65,NAP/BTC
66,XRP/BTC
67,ORBS/KRW
68,SOLVE/BTC
69,HUNT/BTC
70,SUN/BTC
71,ZRX/KRW
72,XRP/KRW
73,MKR/BTC
74,HBAR/KRW
75,LOOM/BTC
76,UNI/BTC
77,STPT/BTC
78,STRIKE/KRW
79,MLK/BTC
80,TRX/BTC
81,SC/KRW
82,BLUR/KRW
83,MOC/BTC
84,UPP/BTC
85,KAVA/BTC
86,META/KRW
87,APT/KRW
88,ENS/BTC
89,GRT/BTC
90,Tokamak Network/BTC
91,GMT/KRW
92,BORA/BTC
93,COMP/BTC
94,GO/BTC
95,SEI/KRW
96,NKN/BTC
97,ONG/KRW
98,DGB/USDT
99,ETH/USDT
100,AERGO/KRW
101,RNDR/BTC
102,ACM/BTC
103,QKC/KRW
104,ZIL/BTC
105,MTL/KRW
106,TT/KRW
107,MED/KRW
108,SHIB/KRW
109,IQ/BTC
110,BFC/BTC
111,NEAR/KRW
112,ASTR/BTC
113,CTSI/BTC
114,AERGO/BTC
115,BORA/KRW
116,HPO/BTC
117,QTCON/BTC
118,CRE/KRW
119,SAND/KRW
120,POLYX/BTC
121,ETC/BTC
122,STEEM/BTC
123,EOS/BTC
124,SNT/BTC
125,MATIC/BTC
126,PUNDIX/KRW
127,HUNT/KRW
128,ADA/KRW
129,CRO/BTC
130,AAVE/BTC
131,PROM/BTC
132,REI/BTC
133,DOGE/USDT
134,STG/BTC
135,DOT/BTC
136,VAL/BTC
137,DENT/BTC
138,T/KRW
139,WAXP/BTC
140,ALGO/BTC
141,ONT/KRW
142,BSV/KRW
143,ATOM/KRW
144,DNT/BTC
145,SBD/KRW
146,KAVA/KRW
147,MVL/BTC
148,ID/BTC
149,HPO/KRW
150,IOST/KRW
151,RLC/BTC
152,STORJ/KRW
153,GMT/BTC
154,SBD/BTC
155,JST/BTC
156,BTC/KRW
157,CELO/BTC
158,XRP/USDT
159,KNC/KRW
160,BTT/KRW
161,TRX/KRW
162,XEM/BTC
163,EGLD/KRW
164,FCT2/BTC
165,HIVE/KRW
166,ATM/BTC
167,SC/BTC
168,THETA/KRW
169,T/BTC
170,MVL/KRW
171,CBK/KRW
172,RAY/BTC
173,SC/USDT
174,MANA/KRW
175,APE/BTC
176,ACS/BTC
177,XLM/BTC
178,XEC/KRW
179,DOT/KRW
180,Tokamak Network/KRW
181,OGN/BTC
182,JST/KRW
183,AVAX/KRW
184,ETH/KRW
185,META/BTC
186,ARPA/BTC
187,MBL/KRW
188,BNT/BTC
189,BTC/USDT
190,ARB/KRW
191,XTZ/KRW
192,CRV/BTC
193,BLUR/BTC
194,TRX/USDT
195,MINA/KRW
196,NMR/BTC
197,ANKR/BTC
198,RLY/BTC
199,GRS/BTC
200,STPT/KRW
201,MED/BTC
202,MLK/KRW
203,AUDIO/BTC
204,STORJ/BTC
205,EOS/KRW
206,FLOW/BTC
207,API3/BTC
208,AXS/BTC
209,BCH/USDT
210,IQ/KRW
211,PUNDIX/BTC
212,GLMR/BTC
213,IMX/BTC
214,MAGIC/BTC
215,GLM/BTC
216,MATIC/KRW
217,BAR/BTC
218,AAVE/KRW
219,GLM/KRW
220,BSV/BTC
221,CVC/KRW
222,GAS/KRW
223,XTZ/BTC
224,GTC/BTC
225,ARB/BTC
226,SNX/BTC
227,WAXP/KRW
228,OXT/BTC
229,AFC/BTC
230,ARK/KRW
231,HIVE/BTC
232,CBK/BTC
233,AXL/BTC
234,USDP/BTC
235,1INCH/KRW
236,DKA/KRW
237,VET/BTC
238,MNT/KRW
239,POKT/BTC
240,CITY/BTC
241,STRAX/KRW
242,AHT/BTC
243,PSG/BTC
244,MANA/BTC
245,LPT/BTC
246,EGLD/BTC
247,STRIKE/BTC
248,IMX/KRW
249,ASTR/KRW
250,DAD/BTC
251,PYTH/BTC
252,ZRX/BTC
253,ETH/BTC
254,POWR/KRW
255,SUI/BTC
256,ARDR/BTC
257,ORBS/BTC
258,ID/KRW
259,ETC/KRW
260,SAND/BTC
261,POKT/USDT
262,LOOM/KRW
263,LSK/KRW
264,OBSR/BTC
265,CRO/KRW
266,DOGE/BTC
267,CHZ/KRW
268,CTC/BTC
269,FIL/BTC
270,ZRX/USDT
271,LRC/BTC
272,DOGE/KRW
273,GAL/BTC
274,BTG/KRW
275,OCEAN/BTC
276,UPP/KRW
277,RAD/BTC
278,ELF/BTC
279,CHZ/BTC
